2020-12-09 23:32:33+00:00; Mathector; @caiodalfonso Olhei por cima e fiquei chateado demais...; 0; 0; 0; 0; https://twitter.com/Mathector/status/1336816029859606528; None; None
2020-12-01 19:56:32+00:00; Mathector; @_advart Sério? Que loucura! Hahahahaha; 1; 0; 0; 0; https://twitter.com/Mathector/status/1333862567610101760; None; None
2020-12-01 19:35:18+00:00; Mathector; @OuroDiTolo Obrigado!; 0; 0; 9; 0; https://twitter.com/Mathector/status/1333857222598733824; None; None
2020-12-01 19:35:06+00:00; Mathector; Estou na lista de “detratores” do governo Bolsonaro!  Gostaria de agradecer a lembrança e dizer que é uma das maiores honras da minha vida.  Mas este relatório está errado!  Acho a política educacional deste governo um desastre.  Sugiro ao Guedes sair do Twitter e ir trabalhar... https://t.co/JUgWftNBwD; 40; 40; 880; 6; https://twitter.com/Mathector/status/1333857172963389442; None; None
2020-12-01 14:55:54+00:00; Mathector; O entorno do Parque do Ibirapuera é uma das regiões mais sem vida de São Paulo  Uma pequena Brasília no meio de São Paulo  Agora quando querem demolir o Ginásio do Ibirapuera começa a ladainha de preservar o patrimônio  Nunca vi tanta gente querendo preservar o que deu errado...; 22; 9; 349; 1; https://twitter.com/Mathector/status/1333786909382897674; None; None
2020-12-01 00:14:39+00:00; Mathector; @JoelPinheiro85 Hoje você está impagável!; 0; 0; 17; 0; https://twitter.com/Mathector/status/1333565133948379138; None; None
2020-11-30 19:44:43+00:00; Mathector; Isso não é indireta, nem crítica social.  É só uma fanfic mesmo!  Que falta de senso de humor...; 0; 1; 43; 0; https://twitter.com/Mathector/status/1333497206293323777; None; None
2020-11-30 14:18:23+00:00; Mathector; @aspones07 Concordo!; 0; 0; 1; 0; https://twitter.com/Mathector/status/1333415079795175425; None; None
2020-11-30 14:07:32+00:00; Mathector; Fun Fact: o segundo pior resultado da esquerda foi Luiza Erundina em 1996 com 37% dos votos.  (Após a redemocratização); 1; 1; 63; 0; https://twitter.com/Mathector/status/1333412351295549441; None; None
2020-11-30 14:04:49+00:00; Mathector; O pior desempenho da esquerda em São Paulo foi Haddad na última eleição.  Porém, poucas vezes a esquerda fez menos 40% dos votos.  Boulos não é nenhum fenômeno!  Ele apenas captou um campo porque Jilmar Tatto era péssimo.  Boulos não é vencedor, foi o PT que perdeu feio mesmo...; 7; 15; 235; 3; https://twitter.com/Mathector/status/1333411667045134337; None; None
2020-11-30 13:07:16+00:00; Mathector; @P_droMenezes @geraldoalckmin tinha o primeiro quase inteiro e mais um pouco...; 7; 0; 74; 0; https://twitter.com/Mathector/status/1333397181940838401; None; None
2020-11-30 01:14:24+00:00; Mathector; A nova narrativa da esquerda é:   “São Paulo é conservadora e preconceituosa”  Me desculpe, há poucos lugares no Brasil mais diversos e progressistas que SP.  Rejeitar um projeto político não torna uma cidade intolerante.  Parem de ofender a cidade que até ontem queriam governar!; 78; 184; 2719; 44; https://twitter.com/Mathector/status/1333217782876549131; None; None
2020-11-30 00:45:20+00:00; Mathector; @ClaudioThiagoA8 Ela não existe, é um personagem fictício...; 1; 0; 3; 0; https://twitter.com/Mathector/status/1333210471365795840; None; None
2020-11-29 22:36:59+00:00; Mathector; “São Paulo esqueceu os mais pobres e a esperança perdeu!”  Disse Camilla - estudante de Administração Pública na FGV.  Moradora de Alto de Pinheiros em rua com cancela e anda de Tiguan blindando que ganhou dos pais pela formatura do Santa.; 49; 193; 2847; 32; https://twitter.com/Mathector/status/1333178167872417794; None; None
2020-11-29 22:18:14+00:00; Mathector; @rauljustelores Tá botando a mão no vespeiro 😅😅😅; 0; 0; 12; 0; https://twitter.com/Mathector/status/1333173449179746306; None; None
2020-11-29 22:17:35+00:00; Mathector; @maialmrn Não tenho ideia do que você esteja falando!  Aproveitando a deixa, chora menos...; 0; 0; 2; 0; https://twitter.com/Mathector/status/1333173288093224960; None; None
2020-11-29 22:07:21+00:00; Mathector; São Paulo escolheu a ponderação e o bom senso.  A cidade mais fantástica do mundo não poderia virar palco para ideias atrasadas e posturas autoritárias.  Porém, os desafios para os próximos anos são enormes e exigem ousadia.  Parabéns prefeito @brunocovas e boa sorte!; 3; 8; 201; 2; https://twitter.com/Mathector/status/1333170711536541702; None; None
2020-11-29 19:47:15+00:00; Mathector; @guigomed Covas rejeitou Bolsonaro desde 2018 e os bolsonaristas o ignoraram nessa eleição.  E para quem você acha que o Bolsonaro está torcendo hoje?; 1; 0; 5; 0; https://twitter.com/Mathector/status/1333135453734776833; None; None
2020-11-29 19:39:29+00:00; Mathector; Boulos é um falso profeta!  Nas redes sociais: Celtinha e Catuaba.  Nos bastidores: Ideias atrasadas, Zé Dirceu e todo patrimonialismo petista.  É a Frente Ampla de tudo que não presta... https://t.co/dI4wAEE72u; 1; 11; 160; 2; https://twitter.com/Mathector/status/1333133499172327425; None; https://twitter.com/DirceuMemorias/status/1333040938072018950
2020-11-29 19:31:55+00:00; Mathector; @Rosanamaria_78 Por que não tem atrativos culturais?  Por que não tem pessoas andando na rua?  Por que falta vida, mesmo tendo “uma zeladoria melhor”?  Por isso, precisamos de bom urbanismo....; 1; 0; 1; 0; https://twitter.com/Mathector/status/1333131594274574341; None; None
2020-11-29 18:16:12+00:00; Mathector; Aos que estão criticando a Avenida Paulista, sugiro caminhar nos finais de semana na Berrini.  Ver todos os prédios espelhados e estéreis.  Não encontrar nenhuma pessoa na rua - quem dera diversidade.  Talvez seja isso que os reacionários procurem: uma cidade morta e chata!; 19; 19; 535; 2; https://twitter.com/Mathector/status/1333112542948954113; None; None
2020-11-29 13:57:50+00:00; Mathector; @owand_ No fundo a gente sabe que ele tava falando de casais LGBTQIA+; 0; 0; 8; 0; https://twitter.com/Mathector/status/1333047520436641794; None; None
2020-11-29 03:33:23+00:00; Mathector; @dfcamara98 Eu sou do interior de São Paulo com muito orgulho!  Sou um caipira cosmopolita com muito lugar de falar...; 1; 0; 9; 0; https://twitter.com/Mathector/status/1332890375128801281; None; None
2020-11-29 03:04:43+00:00; Mathector; @Fiblizo Deve ser casais de mãos dadas mesmo...; 1; 0; 14; 0; https://twitter.com/Mathector/status/1332883158191263744; None; None
2020-11-29 03:01:10+00:00; Mathector; A Av. Paulista é um dos lugares mais fantásticos do Brasil!  Calçadas largas e marcos arquitetônicos são detalhes.  A real beleza está nas pessoas e na diversidade.  Porém, o caipira bolsonarista não consegue entender isso.  Que fique bem longe de SP... https://t.co/ktXNBWlVzc; 21; 15; 402; 5; https://twitter.com/Mathector/status/1332882263470641154; None; https://twitter.com/nikolas_dm/status/1332839426997825538
2020-11-29 01:17:26+00:00; Mathector; @vitorrnaves @brunocovas @eduardopaes_ Melhor que o bispo 😅😅😅; 1; 0; 4; 0; https://twitter.com/Mathector/status/1332856159980711942; None; None
2020-11-29 01:14:26+00:00; Mathector; @Astr00_ @brunocovas Eu amo São Paulo e não consigo torcer para o quanto pior melhor.  Isso é coisa de petista...; 1; 0; 6; 0; https://twitter.com/Mathector/status/1332855406180306945; None; None
2020-11-29 01:10:27+00:00; Mathector; Se omitir é o primeiro passo para se tornar um covarde.  Política exige virtudes e não podemos falhar no dia de amanhã.  Apesar das pesquisas indicarem a derrota de Boulos, a abstenção pode virar o jogo.  Amanhã não se omita e defenda São Paulo.  Vá às urnas e vote @brunocovas!; 4; 10; 221; 0; https://twitter.com/Mathector/status/1332854401841696773; None; None
2020-11-29 00:53:14+00:00; Mathector; @renato_battista Política é paixão, é vocação e também é vício!  Mas sem dúvidas a melhor parte são os amigos. 🧡; 1; 0; 12; 0; https://twitter.com/Mathector/status/1332850071361220610; None; None
2020-11-28 21:21:18+00:00; Mathector; @LeilaGermano O algoritmo está do seu lado... https://t.co/Hh9OBYELqk; 0; 0; 0; 0; https://twitter.com/Mathector/status/1332796736704802817; None; None
2020-11-28 15:17:01+00:00; Mathector; Boulos diz que a prefeitura está negligenciando a Segunda Onda!  Mas também pede para a militância sair às ruas virar votos  Realiza comícios imprudentes com milhares de pessoas  Comparece a 7 eventos após a equipe ser diagnosticada com COVID  É um hipócrita dissimulado...; 10; 64; 621; 7; https://twitter.com/Mathector/status/1332705059038261248; None; None
2020-11-27 21:58:05+00:00; Mathector; Divergências não podem colocar SP em risco.  Posturas autoritárias não podem vencer na Democracia.  Propostas populistas não podem vencer o debate.  Clichês e amadorismo não podem destruir nossas contas públicas.  Há muita coisa em jogo e por isso domingo meu voto é Bruno Covas!; 8; 14; 335; 2; https://twitter.com/Mathector/status/1332443605525467148; None; None
2020-11-27 00:17:18+00:00; Mathector; @rauljustelores As grades vieram depois?; 0; 0; 3; 0; https://twitter.com/Mathector/status/1332116252727283712; None; None
2020-11-24 18:33:16+00:00; Mathector; - Propostas econômicas delirantes e irresponsabilidade fiscal  - Postura leniente a regimes autoritários  - Apoiado pela mesma elite que se beneficiou da corrupção petista  Boulos não tem nada de novo, ele é a ressurreição de Dilma em São Paulo!  https://t.co/TQLiVnPea1; 17; 47; 578; 8; https://twitter.com/Mathector/status/1331304898282086402; None; None
2020-11-24 02:37:41+00:00; Mathector; Boulos reafirma suas propostas irreais, repete os chavões da esquerda e despreza a responsabilidade fiscal.  Covas mostra prudência, cita dados com clareza e fala sobre revisar o Plano Diretor.  Não caia em discurso populista, só porque ele anda de Celtinha, ok?; 20; 75; 1110; 11; https://twitter.com/Mathector/status/1331064414741655553; None; None
2020-11-20 16:47:25+00:00; Mathector; Os liberais precisam debater o racismo como um assunto sério, não ignora-lo.  Depois não adianta reclamar que pauta foi dominada pelos identitários...; 11; 17; 340; 2; https://twitter.com/Mathector/status/1329828706068606977; None; None
2020-11-20 16:47:18+00:00; Mathector; 23h59 - Foto preta no Instagram  00h00 - Compartilhar o vídeo do Morgan Freeman sobre o dia da consciência negra; 19; 22; 579; 8; https://twitter.com/Mathector/status/1329828679984275463; None; None
2020-11-20 01:39:41+00:00; Mathector; @BaleeiroLuis @danieljosebr @LuanSperandio Arrecada pouco e incentiva fuga de capitais para quem tem planejamento tributário.  Péssimo...; 2; 0; 12; 0; https://twitter.com/Mathector/status/1329600269932523522; None; None
2020-11-20 00:34:15+00:00; Mathector; @miguel_forlin Parabéns meu amigo - orgulho imenso de ti!; 0; 0; 4; 0; https://twitter.com/Mathector/status/1329583802520375299; None; None
2020-11-20 00:21:42+00:00; Mathector; Primeiro turno: Vamos tornar São Paulo a capital do Amor  Segundo turno: https://t.co/duSpyjUOJ7; 5; 26; 422; 0; https://twitter.com/Mathector/status/1329580644888928257; None; https://twitter.com/JornalismoWando/status/1329435681509269506
2020-11-19 00:18:33+00:00; Mathector; Boulos defendeu Nicolás Maduro.  Bolsonaro exaltou o Coronel Ustra.  Boulos depredou a FIESP contra o Teto de Gastos.  Bolsonaro explodiu um quartel por aumento aos militares.  Ambos são corporativistas e avessos a democracia.  Parem com esse discurso de moderação, já tá feio...; 14; 91; 1075; 6; https://twitter.com/Mathector/status/1329217463645581324; None; None
2020-11-19 00:12:16+00:00; Mathector; Guilherme Boulos nos últimos anos:  - Referendou Venezuela como democracia  - Deu palco para Stalinista que defende genocídio  - Comete estelionato eleitoral com um programa impossível  - É fiscalmente irresponsável  Mas tudo, ele é um cara moderado e democrata pra vocês...; 15; 80; 797; 5; https://twitter.com/Mathector/status/1329215881113718786; None; None
2020-11-18 23:20:01+00:00; Mathector; @elenalandau Após anos de escolhas desastradas, finalmente acertaram em quem manda pro Oscar!; 0; 0; 11; 0; https://twitter.com/Mathector/status/1329202733694529536; None; None
2020-11-18 22:55:38+00:00; Mathector; @leandromachado_ @cocotov Obrigado querido 🙏🏻🙏🏻🙏🏻; 0; 0; 1; 0; https://twitter.com/Mathector/status/1329196595917824008; None; None
2020-11-18 22:32:07+00:00; Mathector; @SallumMig Ele é mais do que isso, mais “só isso” é absurdamente importante!; 1; 0; 3; 0; https://twitter.com/Mathector/status/1329190678472105986; None; None
2020-11-18 20:22:22+00:00; Mathector; “Boulos não é radical, no máximo irresponsável fiscalmente.”  Só parem!  O descontrole das contas públicas promoveram a maior recessão da história.  Além de promover crises sociais em diversos estados  São Paulo pode não virar Caracas, mas com certeza será um Rio Grande do Sul...; 6; 32; 501; 2; https://twitter.com/Mathector/status/1329158024662032384; None; None
2020-11-17 21:56:43+00:00; Mathector; @lucasit Obrigado querido!; 0; 0; 4; 0; https://twitter.com/Mathector/status/1328819380965269505; None; None
2020-11-17 21:56:27+00:00; Mathector; @DavidPaulistano Perfeito!; 0; 0; 1; 0; https://twitter.com/Mathector/status/1328819314020003842; None; None
2020-11-17 21:56:10+00:00; Mathector; E uma derrota eleitoral nem sempre significar uma derrota política!  Ulysses perdeu de lavada no Colégio Eleitoral em 1974 mas criou o clima para a Diretas.  Dilma ganhou mentindo em 2014 e o resultado já sabemos.  Ser fiel aos seus princípios é fundamental.; 5; 4; 164; 0; https://twitter.com/Mathector/status/1328819242691670024; None; None
2020-11-17 21:48:02+00:00; Mathector; Política exige humildade e muitas vezes paciência.  Fazer análises e autocríticas são essenciais para entender a urna.  Porém, culpar a sociedade pelo resultado é algo deselegante e mesquinho.  Perder de cabeça erguida é honroso.   Terceirizar a culpa? Ridículo...; 14; 12; 334; 2; https://twitter.com/Mathector/status/1328817195342852097; None; None
2020-11-17 19:35:41+00:00; Mathector; O PSOL segue a mesma estratégia dos petistas: chamar todos de facistas!  Colocar @brunocovas na extrema-direita, além de mentiroso é canalha.  Não podemos cair no papo de quem diz que vai transformar SP na capital do amor - mas só espalha ódio.  Vocês merecem Bolsonaro...; 24; 45; 530; 9; https://twitter.com/Mathector/status/1328783890119593984; None; None
2020-11-17 02:46:44+00:00; Mathector; @lsrodrigo Não é que conseguiríamos - perdemos votos para eles em SP...; 1; 0; 8; 0; https://twitter.com/Mathector/status/1328529977575415808; None; None
2020-11-17 02:41:58+00:00; Mathector; @lucasmarin Valeu Lucas 🙏🏻🙏🏻🙏🏻; 1; 0; 5; 0; https://twitter.com/Mathector/status/1328528780336488448; None; None
2020-11-17 02:38:58+00:00; Mathector; @lgmbrasilia @partidonovo30 Foi uma honra te ver!; 0; 0; 9; 0; https://twitter.com/Mathector/status/1328528022866186240; None; None
2020-11-17 02:38:12+00:00; Mathector; Enquanto a nova política discutia a obrigatoriedade da vacina - a política tradicional construía hospital.  Perdemos para eles!  Enquanto parte da direita foi frouxa em se opor ao Bolsonaro - o PSOL ocupou todo o espaço.  Perdemos para eles!  Chega de cinismo e amadorismo...; 18; 34; 502; 8; https://twitter.com/Mathector/status/1328527832318955521; None; None
2020-11-16 20:58:22+00:00; Mathector; @fe_tulio Estou à disposição - venha aqui em casa tomar um café - eu vou ficar muito feliz!; 0; 0; 6; 0; https://twitter.com/Mathector/status/1328442310330290177; None; None
2020-11-16 13:53:07+00:00; Mathector; E sendo bem sincero, uma coisa me deixou triste: não poder trabalhar no Plano Diretor ano que vem!  É uma oportunidade única de mudar a cidade e queria estar no meio da discussão.  Espero que minha ideias o influenciem de alguma forma.; 20; 3; 313; 2; https://twitter.com/Mathector/status/1328335292923834368; None; None
2020-11-16 13:47:56+00:00; Mathector; @man_acon Obrigado querido 🧡; 0; 0; 5; 0; https://twitter.com/Mathector/status/1328333986825981953; None; None
2020-11-16 13:41:41+00:00; Mathector; Não ganhamos na urna mas fizemos história!  Mudamos o debate público e colocamos o urbanismo no centro das eleições.  Estou muito orgulhoso e agradecido por vocês.  Foram 8.597 com muita raça e amor.  Isso é apenas o começo... https://t.co/Fb6U5NydD6; 60; 20; 1254; 6; https://twitter.com/Mathector/status/1328332415941697536; None; None
2020-11-14 23:58:59+00:00; Mathector; @JoelPinheiro85 @NairaSathiyo @tamiresfakih @janainalimasp Valeu Joel, vamos levar essa!; 1; 0; 31; 0; https://twitter.com/Mathector/status/1327762989148237825; None; None
2020-11-14 23:40:38+00:00; Mathector; As eleições serão amanhã e eu só tenho a agradecer.  Fizemos o impossível com os poucos recursos.  Falamos tudo o que queríamos e mudamos o debate sobre urbanismo em SP.  Já ganhamos essa eleição, agora só falta vencermos na urna!  Conto com você amanhã - vote Matheus 30.456 https://t.co/gA5fSbQIsV; 14; 16; 361; 2; https://twitter.com/Mathector/status/1327758369776685057; None; None
2020-11-14 22:56:22+00:00; Mathector; @GabrielCBrasil Deus te ouça 🙏🏻🙏🏻🙏🏻; 0; 0; 21; 0; https://twitter.com/Mathector/status/1327747230539902977; None; None
2020-11-14 22:19:25+00:00; Mathector; Tá cansado disso?   Acha que os aluguéis em São Paulo são exorbitantes?  Não aguenta mais uma cidade onde você não pode morar perto do seu trabalho?  Vote Matheus Hector - 30.456 https://t.co/dpTi9nLLkT; 1; 6; 85; 1; https://twitter.com/Mathector/status/1327737928777396224; None; https://twitter.com/abezerraigor/status/1327313190896758786
2020-11-14 21:10:21+00:00; Mathector; @FredBarros72 @hoc111 Conte comigo, você não vai se arrepender!; 0; 0; 2; 0; https://twitter.com/Mathector/status/1327720548240134149; None; None
2020-11-14 17:25:19+00:00; Mathector; @AAlbertoni Tenho, está aqui:   https://t.co/q6aQvtfc8s  Não votaria pelo aumento...; 0; 0; 2; 0; https://twitter.com/Mathector/status/1327663919402455041; None; None
2020-11-14 17:07:47+00:00; Mathector; Obrigado @joaoamoedonovo - conte comigo para honrar o seu legado! https://t.co/2oG5lRfAr7; 12; 13; 578; 4; https://twitter.com/Mathector/status/1327659503530151938; None; https://twitter.com/joaoamoedonovo/status/1327657746745974789
2020-11-14 16:28:52+00:00; Mathector; @mysaito Mas eu não gosto de Tetris 😅😅😅; 1; 0; 0; 0; https://twitter.com/Mathector/status/1327649711851974658; None; None
2020-11-14 16:28:30+00:00; Mathector; @vpa55 É o símbolo das calçadas! Hahahah; 1; 0; 2; 0; https://twitter.com/Mathector/status/1327649619111780355; None; None
2020-11-14 16:04:39+00:00; Mathector; Abra a foto para entender!; 1; 1; 23; 0; https://twitter.com/Mathector/status/1327643617201164289; None; None
2020-11-14 16:04:17+00:00; Mathector; Meu amor por São Paulo nunca foi uma jogada de marketing.  O que me levou a colocá-la em minha  pele - simboliza o que se tornou minha carreira - dedicar minha vida a essa cidade.  Isso é mais do que uma campanha eleitoral.  Isso é uma mensagem de amor a SP! https://t.co/hDi7Cz3zo4; 14; 7; 177; 4; https://twitter.com/Mathector/status/1327643523743703042; None; None
2020-11-14 00:48:48+00:00; Mathector; @mikecerqueira @SamuelEmilioSP Muito obrigado do fundo do meu coração! 🧡🧡🧡; 0; 0; 2; 0; https://twitter.com/Mathector/status/1327413135855251457; None; None
2020-11-13 23:16:17+00:00; Mathector; @mlmorais @NairaSathiyo @janainalimasp @LuisBucciarelli @joannadouat @drarobertarobi @marcelocastrott @pduarte30 @leticiaarsenio E valeu pela lembrança Marcelo!; 1; 0; 10; 0; https://twitter.com/Mathector/status/1327389855123451904; None; None
2020-11-13 23:15:48+00:00; Mathector; @mlmorais @NairaSathiyo @janainalimasp @LuisBucciarelli @joannadouat @drarobertarobi @marcelocastrott @pduarte30 @leticiaarsenio Tudo gente boa!; 2; 0; 14; 0; https://twitter.com/Mathector/status/1327389731861172225; None; None
2020-11-13 20:39:32+00:00; Mathector; @Daniel51250438 Valeu querido, to sentido coisa boa mas vamo pra cima virar voto!; 0; 0; 13; 0; https://twitter.com/Mathector/status/1327350404754141184; None; None
