2018-12-27 18:53:43+00:00; rafinhabastos; @OtakuAlgum Hahehhshhshs; 121; 2; 0; 0; https://twitter.com/rafinhabastos/status/1078363313400995841; None; None
2018-12-22 16:40:25+00:00; rafinhabastos; @Laiooo @andrefran @demori Ok... eu ñ tinha pensado isso. You have a point... mas é só entrar deslogado e vida que segue.; 4; 2; 0; 0; https://twitter.com/rafinhabastos/status/1076517827006349312; None; None
2018-12-22 16:38:05+00:00; rafinhabastos; @nobrufjv @andrefran @demori Li a primeira palavra e te bloqueei... só pela zueira. Conta pessoal minha.; 169; 19; 0; 0; https://twitter.com/rafinhabastos/status/1076517239577284609; None; None
2018-12-22 15:34:00+00:00; rafinhabastos; @andrefran @demori Entao... bloquear significa que ele nao mais ler o q o jornalista escreve... nao significa q o jornalista ñ pode escrever. O cara pode bloquear quem ele quiser. Não queria defender, mas segura a sensibilidade ae!; 3140; 361; 118; 74; https://twitter.com/rafinhabastos/status/1076501113396969476; None; None
2018-12-22 13:55:58+00:00; rafinhabastos; Tô aqui brincando de bruxinha. https://t.co/JV0bEdRGUN; 1483; 38; 60; 7; https://twitter.com/rafinhabastos/status/1076476440567316480; None; None
2018-12-19 10:54:24+00:00; rafinhabastos; @duksfts @leopfuita @cauemoura Ae!; 1; 0; 0; 0; https://twitter.com/rafinhabastos/status/1075343587041267713; None; None
2018-12-18 19:27:33+00:00; rafinhabastos; @belinhocrisanto Por favor... aponta aonde eu fiz isso, campeão?; 0; 0; 0; 0; https://twitter.com/rafinhabastos/status/1075110337626673152; None; None
2018-12-17 17:33:17+00:00; rafinhabastos; Gostei de um vídeo @YouTube https://t.co/8L9Fueju0ZÊ MOURA + RAFINHA BASTOS | #POUCAS #10; 73; 6; 3; 0; https://twitter.com/rafinhabastos/status/1074719192962818049; None; None
2018-12-17 14:19:19+00:00; rafinhabastos; No ar no POUCAS com o parceiro @cauemoura. Entra ae! https://t.co/IiufbJxelF https://t.co/C3sPxNw4Ao; 230; 13; 8; 0; https://twitter.com/rafinhabastos/status/1074670377803153408; None; None
2018-12-17 12:50:29+00:00; rafinhabastos; SIGA O SEU SONHO... a não ser que ele seja muuuito difícil. Nesse caso, pense bem se vale a pena. Talvez seja bem melhor escolher algo mais simples e ficar de boas. Na real, não siga seu sonho não. Nem tenta. Espero ter ajudado. #motivação #foco #força #fé https://t.co/26kRDrceLp; 2472; 89; 312; 26; https://twitter.com/rafinhabastos/status/1074648022355767296; None; None
2018-12-17 12:31:40+00:00; rafinhabastos; Um youtuber xinga o outro. Aí o ofendido responde o que ofendeu. O agressor agora tem mais conteúdo pra atacar novamente e o agredido pra responder. Tudo isso com propaganda de 5 segundos na abertura dos vídeos. Resultado: vc mais imbecil e o Ifood 42 mil dólares mais pobre.; 2287; 70; 144; 10; https://twitter.com/rafinhabastos/status/1074643287154282496; None; None
2018-12-17 10:39:54+00:00; rafinhabastos; @anxietieps 😂😂😂😂; 12; 0; 0; 0; https://twitter.com/rafinhabastos/status/1074615161439313920; None; None
2018-12-17 03:40:58+00:00; rafinhabastos; How u doing??? https://t.co/Mgd7vdiwP9; 609; 69; 9; 5; https://twitter.com/rafinhabastos/status/1074509735381078020; None; None
2018-12-16 03:45:54+00:00; rafinhabastos; @caue_nascim @DonatoX1 @WanWanSilva É isso.; 27; 0; 1; 0; https://twitter.com/rafinhabastos/status/1074148589004357633; None; None
2018-12-16 02:46:45+00:00; rafinhabastos; @JimmySouza49 Deus vai puxar seu pé de noite, mau-cristão. Boa 4ª série ae!; 6; 2; 0; 0; https://twitter.com/rafinhabastos/status/1074133702198865920; None; None
2018-12-16 02:40:10+00:00; rafinhabastos; Normal. https://t.co/XFoYAunMgt; 680; 45; 42; 12; https://twitter.com/rafinhabastos/status/1074132043074809856; None; None
2018-12-16 01:47:09+00:00; rafinhabastos; @TnorSantos Hahahhehe! Ficou putinha. Bjo moça; 0; 1; 0; 0; https://twitter.com/rafinhabastos/status/1074118703489404928; None; None
2018-12-16 01:45:51+00:00; rafinhabastos; @CanalDoEduzera Heheheeh! Eu lembro disso; 6; 0; 0; 0; https://twitter.com/rafinhabastos/status/1074118377331875840; None; None
2018-12-16 01:34:30+00:00; rafinhabastos; @TnorSantos Eu ia te xingar e então vi q vc usa hashtag do Dancing Brasil e da Fazenda... e desisti. Nao quero ser mais um motivo de tristeza na sua vida medíocre.; 0; 1; 0; 0; https://twitter.com/rafinhabastos/status/1074115518846722049; None; None
2018-12-16 01:30:19+00:00; rafinhabastos; @Iordlotus @aguedescartoon Mamada aonde garotinho? Vou contar pra tua mamãe q tu ta fazendo arte. Agora volta a chupar o peruzinho dos amigos aí e sai do cpu do papai.; 1; 1; 0; 0; https://twitter.com/rafinhabastos/status/1074114467632463873; None; None
2018-12-16 01:23:18+00:00; rafinhabastos; @Iordlotus @aguedescartoon Quem comprou, campeão? Se comprou, tá devendo ainda.; 1; 2; 0; 0; https://twitter.com/rafinhabastos/status/1074112699238371328; None; None
2018-12-16 01:22:17+00:00; rafinhabastos; Aqueles momentos felizes que a gente nunca esquece. 🙌🙌🙌 https://t.co/nWRMy0rWMC; 1129; 42; 78; 5; https://twitter.com/rafinhabastos/status/1074112442651852800; None; https://twitter.com/folha/status/123543574804570114
2018-12-16 01:21:08+00:00; rafinhabastos; @JimmySouza49 Hey campeão... “retardado mental”? No seu perfil fala que vc é cristão. O q é isso, amigão? Deus tá vendo.; 11; 2; 0; 0; https://twitter.com/rafinhabastos/status/1074112154423435266; None; None
2018-12-15 22:48:30+00:00; rafinhabastos; @JimmySouza49 Eu estava ficando chateado, mas aí olhei a sua cara de trouxa e apenas sorri.; 206; 21; 3; 0; https://twitter.com/rafinhabastos/status/1074073744820314113; None; None
2018-12-13 14:18:16+00:00; rafinhabastos; @AlexAlichandri E ganho pra caralho. Chupa!; 9; 1; 0; 0; https://twitter.com/rafinhabastos/status/1073220563697582081; None; None
2018-12-13 13:03:55+00:00; rafinhabastos; Meu pornô favorito. Vídeo novo na Ilha de Barbados: https://t.co/EpQPzAfJ4y https://t.co/3igbHf10OK; 647; 18; 30; 4; https://twitter.com/rafinhabastos/status/1073201853364662274; None; None
2018-12-13 11:15:48+00:00; rafinhabastos; Porra! Muito eu! https://t.co/OAoSUPeWqq; 1720; 55; 173; 76; https://twitter.com/rafinhabastos/status/1073174643123650561; None; None
2018-12-12 18:55:29+00:00; rafinhabastos; Caro senador @MagnoMalta, mesmo depois do senhor ter dedicado 20 min de seu tempo na tribuna do senado pra me chamar de pedófilo (https://t.co/Zbz0dHwpV8), torço para dias melhores na sua vida. Bjo no coração. https://t.co/GzkCMEvxPO; 429; 28; 19; 4; https://twitter.com/rafinhabastos/status/1072927939052761090; None; None
2018-12-12 18:50:50+00:00; rafinhabastos; @Tonkiel Uhahhehhahehhshha; 9; 2; 0; 0; https://twitter.com/rafinhabastos/status/1072926771144622080; None; None
2018-12-12 18:43:56+00:00; rafinhabastos; O convite tá feito. Ultimato... na Netflix. https://t.co/61Xmv4nxuu; 1154; 56; 76; 17; https://twitter.com/rafinhabastos/status/1072925034371379200; None; None
2018-12-11 07:59:43+00:00; rafinhabastos; Gostei de um vídeo @YouTube https://t.co/bvjJnuxTUi For Real - Candy Rain; 28; 2; 1; 0; https://twitter.com/rafinhabastos/status/1072400521745584134; None; None
2018-12-10 18:59:46+00:00; rafinhabastos; Porra Noel! https://t.co/dbV6z0VYPi; 1569; 54; 285; 50; https://twitter.com/rafinhabastos/status/1072204243505897475; None; None
2018-12-09 00:05:33+00:00; rafinhabastos; @rodrigoramthum No. Never bro; 10; 3; 1; 0; https://twitter.com/rafinhabastos/status/1071556417146957824; None; None
2018-12-09 00:04:49+00:00; rafinhabastos; Isso ficou legal!!!! https://t.co/3LV7GAPIAt; 121; 7; 5; 0; https://twitter.com/rafinhabastos/status/1071556234354913280; None; https://twitter.com/gzhdigital/status/1071471975414030337
2018-12-07 23:42:49+00:00; rafinhabastos; @ThiagoLlunaa @insideei Champz... aponta agora aonde que eu falei pra votar no Lula. Agora. Ou entao pede desculpa.; 1; 0; 0; 0; https://twitter.com/rafinhabastos/status/1071188311866191876; None; None
2018-12-07 22:04:22+00:00; rafinhabastos; @arantes_lucas Pq queria fazer uns trouxa que nem vc me engulirem. Bjo; 50; 0; 0; 0; https://twitter.com/rafinhabastos/status/1071163536364040192; None; None
2018-12-07 21:47:34+00:00; rafinhabastos; @danmotarj Eu quis ter ele. Desde o começo. Tenho grana pra ter filho e posso dar uma qualidade se vida legal. Nao entendi a comparação champz?!; 184; 22; 2; 3; https://twitter.com/rafinhabastos/status/1071159304491843584; None; None
2018-12-07 21:44:20+00:00; rafinhabastos; @ThiagoLlunaa @insideei E a hipocrisia ta aonde champz?; 0; 0; 0; 0; https://twitter.com/rafinhabastos/status/1071158492872900608; None; None
2018-12-07 21:42:04+00:00; rafinhabastos; Boston, NY e Miami! Turnê pelos states em janeiro! Infos: https://t.co/gFpeRUgw8x https://t.co/qpOw1RPaIQ; 72; 9; 3; 0; https://twitter.com/rafinhabastos/status/1071157921721999361; None; None
2018-12-07 19:56:18+00:00; rafinhabastos; Deus mandou um whats dizendo q o sr tem q se resolver com a gente mesmo. https://t.co/vn2hptHoeo; 1341; 39; 224; 15; https://twitter.com/rafinhabastos/status/1071131303599267840; None; None
2018-12-07 19:38:32+00:00; rafinhabastos; @ricardoecher Uhehhehhe; 5; 0; 0; 0; https://twitter.com/rafinhabastos/status/1071126833351946240; None; None
2018-12-07 15:42:47+00:00; rafinhabastos; Obrigado, Deus. Chegou a minha vez de ganhar um dinheirinho na justiça. https://t.co/BI7HwLFNxC; 2788; 88; 230; 20; https://twitter.com/rafinhabastos/status/1071067505601335301; None; None
2018-12-07 14:47:52+00:00; rafinhabastos; @gremio_bcn @libertams Quietinho que a discussão sobre “onde começa a vida” é polêmica e to com mais 13 milhões de refém aqui pronto pra exterminar.; 217; 6; 0; 0; https://twitter.com/rafinhabastos/status/1071053683595431936; None; None
2018-12-07 14:42:29+00:00; rafinhabastos; @caiodgsousa Sou a favor de liberar tb; 86; 1; 0; 0; https://twitter.com/rafinhabastos/status/1071052329795776512; None; None
2018-12-07 14:32:15+00:00; rafinhabastos; @libertams Em tua homenagem, entrei no xvideos agora e pratiquei uma chacina num guardanapo. Bjo; 515; 21; 6; 1; https://twitter.com/rafinhabastos/status/1071049756154068992; None; None
2018-12-06 21:48:41+00:00; rafinhabastos; Minha considerações sobre o pornô da Gretchen. O episódio de hoje do Ilha de Barbados tá fueda!!! https://t.co/PNVw3d9o9e https://t.co/S44BMMB7li; 158; 11; 10; 1; https://twitter.com/rafinhabastos/status/1070797199192117248; None; None
2018-12-06 20:43:46+00:00; rafinhabastos; @CharlesIrado @felipeneto @CdNLeon @PCsiqueira @DaniloGentili @moura_101 Cristão show você, hein?!; 153; 7; 0; 2; https://twitter.com/rafinhabastos/status/1070780863741276160; None; None
2018-12-06 20:12:59+00:00; rafinhabastos; @ovarzeano @nayanebraganca 🙌; 2; 0; 0; 0; https://twitter.com/rafinhabastos/status/1070773117457330176; None; None
2018-12-06 03:59:55+00:00; rafinhabastos; @anashakifan 🙌🙌🙌🙌; 1; 0; 0; 0; https://twitter.com/rafinhabastos/status/1070528235581038592; None; None
2018-12-06 00:10:04+00:00; rafinhabastos; @le_chagasm @Luiz_fgf Simmm! Aviso no insta sempre; 9; 2; 0; 0; https://twitter.com/rafinhabastos/status/1070470392819539969; None; None
2018-12-05 12:05:33+00:00; rafinhabastos; Meu aniversário hj e o 1º parabéns vem de um companheiro das antigas! https://t.co/3Tf7vqg2vY; 1624; 81; 46; 6; https://twitter.com/rafinhabastos/status/1070288062268157953; None; None
2018-12-05 12:02:06+00:00; rafinhabastos; @TheLaughFactory @paulo_c_s Hehahheheh!!! Nice!!!; 0; 0; 0; 0; https://twitter.com/rafinhabastos/status/1070287192377806848; None; None
2018-12-04 22:39:59+00:00; rafinhabastos; O que é mais triste?; 87; 27; 7; 0; https://twitter.com/rafinhabastos/status/1070085332593340417; None; None
2018-12-03 14:55:52+00:00; rafinhabastos; @assimdisseojoao Uhahhehhahe; 59; 3; 0; 0; https://twitter.com/rafinhabastos/status/1069606145570988033; None; None
2018-12-02 07:49:00+00:00; rafinhabastos; @shannongsims C acha?!?!? Olha o meu time do Fantasy. Só os top. Rafiuston Hockets. https://t.co/8BauZtcjh6; 8; 1; 0; 0; https://twitter.com/rafinhabastos/status/1069136335061938176; None; None
2018-12-02 07:45:37+00:00; rafinhabastos; Mano! @ShogunRua e @junior_cigano... só pedrada. Parabéns! Foda demais.; 193; 3; 3; 0; https://twitter.com/rafinhabastos/status/1069135482523512832; None; None
2018-12-01 12:44:26+00:00; rafinhabastos; Meu trabalho é fácil demais. https://t.co/1g8oTkjT9A; 10283; 176; 2283; 365; https://twitter.com/rafinhabastos/status/1068848296448339969; None; None
2018-11-30 22:41:27+00:00; rafinhabastos; Galera da California... terça que vem, dia 4 as 19h30, vai ter show meu no Laugh Factory. Esse aí na foto foi o elenco da última edição. Não perde! Ingressos: https://t.co/gFpeRUy7x7 https://t.co/s7ut76aRz7; 143; 10; 5; 1; https://twitter.com/rafinhabastos/status/1068636150879924224; None; None
2018-11-29 18:18:15+00:00; rafinhabastos; PIRIGOSPEL... a melhor palavra da década. https://t.co/JAmrTEbCF5; 718; 40; 68; 9; https://twitter.com/rafinhabastos/status/1068207526930374656; None; None
2018-11-29 10:37:56+00:00; rafinhabastos; @umEumelhor @juu__almeidaa Eles injetam. Ela força e sai; 3; 1; 0; 0; https://twitter.com/rafinhabastos/status/1068091685660323851; None; None
2018-11-26 17:42:35+00:00; rafinhabastos; RIP Roy Clark. Gênio. https://t.co/90baXaKzjC; 279; 11; 29; 5; https://twitter.com/rafinhabastos/status/1067111387808198656; None; None
2018-11-25 03:18:17+00:00; rafinhabastos; @arielhelwani He asked his girl to marry him. I am here. She said yes. He will propably have to get a regular job.; 16; 2; 0; 0; https://twitter.com/rafinhabastos/status/1066531492480708608; None; None
2018-11-22 07:14:11+00:00; rafinhabastos; Gostei de um vídeo @YouTube https://t.co/w9tHZRb2Ge Edge - He Can't Love U; 33; 6; 0; 1; https://twitter.com/rafinhabastos/status/1065503693380947968; None; None
2018-11-21 10:46:35+00:00; rafinhabastos; @alexandrenickel @lucianopotter Roubou um tênis meu.; 64; 2; 3; 0; https://twitter.com/rafinhabastos/status/1065194760640450560; None; None
2018-11-21 03:16:36+00:00; rafinhabastos; Mano... que coisa maravilhosa! https://t.co/71aid2Xk4U; 1657; 53; 223; 64; https://twitter.com/rafinhabastos/status/1065081517125193728; None; None
2018-11-21 03:11:31+00:00; rafinhabastos; Nunca gostei muito de vc. https://t.co/FT5xTuXxdQ; 429; 25; 15; 4; https://twitter.com/rafinhabastos/status/1065080237766074369; None; https://twitter.com/DaniWineBrasil/status/1065079709594238978
2018-11-21 03:10:18+00:00; rafinhabastos; @tosquista Fiquei mais surpreso em saber que aqui não era merda... parece que meteram sorvete (ou espuma de chocolate) no rabo da moça e começaram a gravar. Achei triste.; 16; 4; 0; 0; https://twitter.com/rafinhabastos/status/1065079929878937600; None; None
2018-11-20 23:02:46+00:00; rafinhabastos; @fzanetti05 Valeu parcêro!; 2; 0; 0; 0; https://twitter.com/rafinhabastos/status/1065017638693220352; None; None
2018-11-19 21:54:08+00:00; rafinhabastos; @DHZAZ Valeu brooo; 5; 0; 0; 0; https://twitter.com/rafinhabastos/status/1064637978050359296; None; None
2018-11-19 21:50:50+00:00; rafinhabastos; A recompensa do trabalho vem chegando. Assinei com uma das maiores agências dos EUA, a Gersh (https://t.co/0kRKGMZ1bg). Ela representa caras como Dave Chapelle, John Oliver e Kevin Nealon. Obg a todos que torcem por mim. Pretendo continuar decepcionando vcs por mtos e mtos anos. https://t.co/H9X9JN98vo; 1886; 72; 23; 3; https://twitter.com/rafinhabastos/status/1064637146487615488; None; None
2018-11-18 06:06:13+00:00; rafinhabastos; Os apelidos do UFC são quase sempre umas coisa do capeta... Axe Muderer, American Psyco, The Crippler. Acaba de vencer o main event de hj o Santiago “GENTE BOA” Ponzinibio. Fofo. Mereceu.; 334; 13; 12; 2; https://twitter.com/rafinhabastos/status/1064037038066851840; None; None
2018-11-18 03:42:26+00:00; rafinhabastos; Uma vez por semana eu vejo 1 tênis ou um chinelo no meio da rua. Não UM PAR... um pé mesmo. Quem atravessa uma avenida, chega do outro lado com um pé descalço e não se dá conta?; 959; 77; 41; 9; https://twitter.com/rafinhabastos/status/1064000852816347136; None; None
2018-11-17 19:44:48+00:00; rafinhabastos; @marcogomes @forastieri Há alguns anos fiz com A LIGA um programa inteiro dedicado ao tema. Assiste ae! https://t.co/988JRB6VGC; 198; 18; 17; 4; https://twitter.com/rafinhabastos/status/1063880652330659840; None; None
2018-11-16 23:04:07+00:00; rafinhabastos; MAIS MÉDICOS - Há alguns anos fiz com A LIGA um programa inteiro dedicado ao tema. Fomos conhecer o trabalho dos estrangeiros que atuam no BR. Assiste ae: https://t.co/988JRB6VGC; 457; 26; 57; 10; https://twitter.com/rafinhabastos/status/1063568425170030593; None; None
2018-11-15 09:13:27+00:00; rafinhabastos; @dubheller @BrasilTruth Bro... eu só disse que foi escroto... ñ tem bandeira nenhuma nisso. O q vc tá combatendo? Nao falei que tinha que censurar, processar... nada disso. Foi escroto. Tb já fui. Simples assim.; 4; 1; 0; 0; https://twitter.com/rafinhabastos/status/1062996993620959233; None; None
2018-11-15 01:42:02+00:00; rafinhabastos; @BrasilTruth @dubheller Falei que o cara foi escroto. Tb ja fui. Ta em casa. Nao sei qual a pira.; 3; 1; 0; 0; https://twitter.com/rafinhabastos/status/1062883388984442882; None; None
2018-11-15 01:26:41+00:00; rafinhabastos; @dubheller O que eu disse, bro?!; 1; 0; 0; 0; https://twitter.com/rafinhabastos/status/1062879528555491328; None; None
2018-11-14 23:27:48+00:00; rafinhabastos; E quando alguém engravida na suruba? /// Ilha de Barbados... toda seg e qua as 18h no Youtube. https://t.co/NMDt7Affkz; 405; 23; 35; 9; https://twitter.com/rafinhabastos/status/1062849611486785537; None; None
2018-11-14 10:57:05+00:00; rafinhabastos; Silvio Santos passou dos limites. Tenho saudade do tempo em que a TV dele respeitava a moral e os costumes da tradicional família brasileira. #VoltaBanheira https://t.co/C7c35SmpXy; 3366; 171; 341; 45; https://twitter.com/rafinhabastos/status/1062660685639774209; None; None
2018-11-14 10:43:52+00:00; rafinhabastos; O bom e velho SUSTEIDO. https://t.co/407lj0dx7X; 494; 12; 108; 12; https://twitter.com/rafinhabastos/status/1062657360001290240; None; None
2018-11-14 10:30:05+00:00; rafinhabastos; @prtiagocoelho79 @CrissPaiva Mas em nenhum momento eu disse que não sou escroto. Aliás... exatamente por ser especialista é que eu tô ligado. 🙌; 43; 3; 0; 1; https://twitter.com/rafinhabastos/status/1062653892515651585; None; None
2018-11-14 05:08:05+00:00; rafinhabastos; @CrissPaiva @victorsarro Mas isso é verdade pq ele me mostrou vídeos... então ñ é piada, é jornalismo.; 25; 6; 1; 0; https://twitter.com/rafinhabastos/status/1062572857006350336; None; None
2018-11-14 05:04:14+00:00; rafinhabastos; @JotaNero7 @CrissPaiva Aí eu aprovo. 👍; 4; 2; 0; 0; https://twitter.com/rafinhabastos/status/1062571888839286785; None; None
2018-11-14 05:01:13+00:00; rafinhabastos; @CrissPaiva Poutz... mas um tiozinho te abraçando e dizendo que tá excitado não é meio escroto? Certeza mêmo? Se tu tiver tesão por véio, tá fora do debate. Hehehe! Silvio Santos é FILF: Father I Would Never Fuck.; 871; 88; 17; 10; https://twitter.com/rafinhabastos/status/1062571127245926400; None; None
2018-11-13 12:12:52+00:00; rafinhabastos; Respect. https://t.co/K4MTL9AmSQ; 2836; 18; 271; 14; https://twitter.com/rafinhabastos/status/1062317371472470016; None; None
2018-11-12 01:17:07+00:00; rafinhabastos; @Jhonnydrt @gabrieelbarbosa É burrice negar a existência do privilégio. De um modo geral, ele existe... o debate não pode ir por aí. Mas te exemplifico... no RS tá cheio de colono loiro de olho azul passando fome na rua... as vezes ser branco não te garante muito.; 10; 3; 0; 0; https://twitter.com/rafinhabastos/status/1061789956861902848; None; None
2018-11-12 00:30:00+00:00; rafinhabastos; @gabrieelbarbosa @Jhonnydrt Mas eu concordo com muito do que foi dito. Só apontei que debate tem discussão... contraponto.. e tem pontos que podem ser discutidos.; 23; 2; 0; 0; https://twitter.com/rafinhabastos/status/1061778098104889345; None; None
2018-11-12 00:23:02+00:00; rafinhabastos; @Jhonnydrt De maneira nenhuma, amigo. Esse radicalismo brilha na tua bolha, mas mata o debate. Nem todo contraponto é NAZISMO.; 546; 11; 10; 1; https://twitter.com/rafinhabastos/status/1061776346290937856; None; None
2018-11-11 23:55:20+00:00; rafinhabastos; @Jhonnydrt E esse debate que todo mundo concorda? Acho que precisa de alguém que discorda. Só acho.; 2330; 141; 46; 10; https://twitter.com/rafinhabastos/status/1061769374032322560; None; None
2018-11-10 12:26:52+00:00; rafinhabastos; Paizão! https://t.co/HXh7ljahdq; 2492; 50; 507; 87; https://twitter.com/rafinhabastos/status/1061233730751127552; None; None
2018-11-08 05:46:46+00:00; rafinhabastos; Derrick Rose monstro! #OldManCanDunk @nba @NBABrasil https://t.co/BV0fF1WnFn; 290; 16; 19; 2; https://twitter.com/rafinhabastos/status/1060408266386067456; None; None
2018-11-08 04:46:20+00:00; rafinhabastos; @RicardoPipo Como assim!?!? O q é isso cara!; 8; 0; 0; 0; https://twitter.com/rafinhabastos/status/1060393056501817344; None; None
2018-11-07 19:15:17+00:00; rafinhabastos; Chupa WWE! https://t.co/8DewnAzAXY; 2578; 68; 623; 127; https://twitter.com/rafinhabastos/status/1060249348070694914; None; None
2018-11-06 20:05:08+00:00; rafinhabastos; Na boa... vocês tão tudo louco.; 1965; 117; 347; 26; https://twitter.com/rafinhabastos/status/1059899504206340096; None; None
2018-11-06 06:17:53+00:00; rafinhabastos; @RicardoSPimenta @cinebrasiltv Valeu Ricardo!!!; 1; 0; 0; 0; https://twitter.com/rafinhabastos/status/1059691319293992960; None; None
2018-11-04 20:59:27+00:00; rafinhabastos; @HuffPost I wasn’t curious at all about that, sir. I actually don’t even know what you’re talking about.; 23; 1; 0; 1; https://twitter.com/rafinhabastos/status/1059188398643015680; None; None
2018-11-04 20:19:33+00:00; rafinhabastos; Atrasar pra prova não é exclusividade de quem faz o ENEM. https://t.co/tcv5Sr4hrS; 795; 13; 82; 9; https://twitter.com/rafinhabastos/status/1059178358007721984; None; None
2018-11-04 09:06:36+00:00; rafinhabastos; @DavidCarvalhoC Esse é o Loro; 16; 1; 0; 0; https://twitter.com/rafinhabastos/status/1059009002883837952; None; None
2018-11-03 15:49:50+00:00; rafinhabastos; @marcelorubens Impressionante. Puta que pariu.; 219; 23; 6; 1; https://twitter.com/rafinhabastos/status/1058748094362218497; None; None
2018-11-03 05:39:51+00:00; rafinhabastos; O comentário do cachorro no final é o melhor! 😂😂😂😂😂😂 https://t.co/ErhSnbnArX; 3254; 50; 725; 64; https://twitter.com/rafinhabastos/status/1058594583385333761; None; None
2018-11-02 19:41:00+00:00; rafinhabastos; @pecesiqueira @WagnerVicYNWA @mamaefalei Eu tento PC... mas o amor é tóxico e as vezes incontrolável. Não mando no meu ❤️; 87; 4; 1; 0; https://twitter.com/rafinhabastos/status/1058443881153409024; None; None
2018-11-02 19:39:05+00:00; rafinhabastos; @calebcristovam @mamaefalei Qdo a resposta vem num nível legal eu sempre respondo.; 91; 3; 0; 0; https://twitter.com/rafinhabastos/status/1058443396304564224; None; None
2018-11-02 19:26:38+00:00; rafinhabastos; @mamaefalei A proposito... aqui falo tudo: https://t.co/9goIVa8JS9; 21; 3; 0; 0; https://twitter.com/rafinhabastos/status/1058440263083843584; None; None
2018-11-02 19:19:52+00:00; rafinhabastos; Muitos se afastaram dos parentes por discordâncias políticas... outros simplesmente aproveitaram a oportunidade pra se livrar de uns tios chatos mesmo.; 5354; 95; 477; 66; https://twitter.com/rafinhabastos/status/1058438560154435585; None; None
2018-11-02 19:05:05+00:00; rafinhabastos; @mamaefalei Quem elegeu o novo presidente não foi um liberal bem informado, acredite. Ele é parcela minúscula do eleitorado... mas seria imbecilidade minha desconsiderar que tem sim uma esquerda politicamente correta que ama um processinho e quer q eu me foda. Abs; 103; 21; 0; 0; https://twitter.com/rafinhabastos/status/1058434839517351936; None; None
