[2020-12-05 01:36:28+00:00; pavinatto; Quem janta seus males espanta. #friday #fridaymood #fridayvibes #fridaynight #dinner; https://www.instagram.com/p/CIZdntSHBtt/; 1702; 55]
[2020-11-14 21:24:42+00:00; pavinatto; Quem me conhece sabe que, antes de assumir qualquer desafio, eu me preparo muito. Quem me conhece sabe que sou um bom amigo. Que antes de ser gay, sou uma pessoa, um advogado, um escritor, um militante de direita pela liberdade. Por não rezar a cartilha da esquerda, já fui chamado de homofóbico (mesmo tendo fundado toda estrutura de proteção e cuidado aos LGBTQIA+ em SP), opressor (mesmo tendo chegado em SP sem dinheiro pra comer e ter conquistado tudo o que tenho com muito trabalho) e misógino (mesmo tendo Nossa Senhora de Fátima como padroeira, mulheres comandando minha campanha e orientadoras acadêmicas SEMPRE mulheres - pra mim as melhores). Esses não me conhecem... não me importo. O que me importa é entregar a São Paulo o melhor Plano Diretor de todos os tempos e ser o vereador das nossas crianças. Vote 5️⃣1️⃣ 1️⃣1️⃣1️⃣ Vote Pavinatto  #saopaulo #sãopaulo #sp #pavinatto51111 #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #vereador #familia #gaypride #gay #pic #picture #pictureoftheday #picoftheday; https://www.instagram.com/p/CHlg6OOHvm9/; 1747; 45]
[2020-11-14 21:20:40+00:00; pavinatto; Uma boa ideia 51111; https://www.instagram.com/p/CHlgcuOHHEm/; 575; 12]
[2020-11-14 19:12:10+00:00; pavinatto; Vote em quem conhece São Paulo, vote em quem tem capacidade para ser um bom vereador. Sou Tiago Pavinatto, meu número é: 51111. #eleicoes #eleições2020 #vereador #sampa #saopaulo; https://www.instagram.com/p/CHlRvjNnx-_/; 653; 16]
[2020-11-14 16:49:26+00:00; pavinatto; Vote numa boa ideia, vote Pavinatto 51111. #eleicoes #eleições2020 #saopaulo #PorqueEuSouÉPavi; https://www.instagram.com/p/CHlBaLoHKHh/; 1041; 58]
[2020-11-14 03:27:55+00:00; pavinatto; ; https://www.instagram.com/p/CHjloFkn0jn/; 117; 6]
[2020-11-14 02:09:30+00:00; pavinatto; None; https://www.instagram.com/p/CHjctRfnIrw/; 689; 22]
[2020-11-13 21:35:04+00:00; pavinatto; Propostas do Pavi para São Paulo; https://www.instagram.com/p/CHi9QzCnbrg/; 93; 4]
[2020-11-13 20:06:57+00:00; pavinatto; Faltam 2 dias para você votar 51111; https://www.instagram.com/p/CHizFhtHZQE/; 176; 7]
[2020-11-13 18:01:40+00:00; pavinatto; Uma das grandes mulheres por trás deste persistente advogado. Obrigado, Profa. @janainacpaschoal   #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #vereador #familia #mulher #direito #direita; https://www.instagram.com/p/CHik4QRH6WH/; 1223; 25]
[2020-11-13 16:58:48+00:00; pavinatto; Propostas do Pavi para os injustos impostos em São Paulo.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #vereador #familia #iptu #iss #tributario; https://www.instagram.com/p/CHideH4HRGo/; 90; 14]
[2020-11-13 15:25:33+00:00; pavinatto; Elas gritam “craco resiste”, elas condenam mulheres reais à violência física, sexual e à indignidade. Dão aos cachorros melhores condições de vida que a essas mulheres.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #vereador #familia #mulher #cracolandia; https://www.instagram.com/p/CHiSvjKAG_i/; 470; 32]
[2020-11-13 01:18:13+00:00; pavinatto; O que faremos pelas favelas?; https://www.instagram.com/p/CHgxn22HB4V/; 129; 14]
[2020-11-13 00:08:30+00:00; pavinatto; Propostas do Pavi para São Paulo   #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #vereador #familia #meioambiente #guarapiranga; https://www.instagram.com/p/CHgqCCNnbI5/; 83; 8]
[2020-11-12 22:01:18+00:00; pavinatto; #Faltam3Dias; https://www.instagram.com/p/CHgbXOhHbQi/; 195; 13]
[2020-11-12 21:45:10+00:00; pavinatto; Propostas do Pavi para São Paulo  Vote 5️⃣1️⃣ 1️⃣1️⃣1️⃣  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #vereador #familia #planodiretor; https://www.instagram.com/p/CHgZil0HU7M/; 66; 3]
[2020-11-12 20:48:08+00:00; pavinatto; Porque coragem também é coisa de gay.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #vereador #familia #gay #gayboy #gayman; https://www.instagram.com/p/CHgTIoDHNtg/; 816; 21]
[2020-11-12 19:02:35+00:00; pavinatto; A minha querida @duda_leonetti_rodrigues falando sobre nossas propostas para as crianças de São Paulo.; https://www.instagram.com/p/CHgHBpVnYFI/; 70; 18]
[2020-11-12 18:03:36+00:00; pavinatto; @iptujusto; https://www.instagram.com/p/CHgATkRH3yB/; 456; 8]
[2020-11-12 15:05:17+00:00; pavinatto; Saiba qual é uma das principais propostas de Pavinatto para São Paulo.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #vereador #familia #dignidade; https://www.instagram.com/p/CHfrtkfjPsY/; 120; 31]
[2020-11-11 20:21:34+00:00; pavinatto; Chegando em São Paulo...   #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #vereador #familia; https://www.instagram.com/p/CHdrTJ8HBTs/; 393; 7]
[2020-11-11 17:43:01+00:00; pavinatto; Uma boa ideia para São Paulo: 51111.  #sampa #saopaulo #sãopaulo #PorqueEuSouÉPavi #51111; https://www.instagram.com/p/CHdZJ7JHvuH/; 570; 30]
[2020-11-11 16:27:23+00:00; pavinatto; Por: Tiago Pavinatto 51111  #centro #sampa #saopaulo #politica #vereador #candidato #eleicoes #eleições2020; https://www.instagram.com/p/CHdQUKfHyUR/; 159; 7]
[2020-11-11 15:08:23+00:00; pavinatto; Sobre empreendedorismo verde.  #empreendedorismo #empreendedor #sampa #saopaulo #sãopaulo; https://www.instagram.com/p/CHdHdZFHPs6/; 182; 15]
[2020-11-11 13:20:24+00:00; pavinatto; #meioambiente #sampa #saopaulo #sãopaulo; https://www.instagram.com/p/CHc7GhBnSny/; 156; 4]
[2020-11-11 02:34:10+00:00; pavinatto; O ensino médio #album #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #vereador #familia; https://www.instagram.com/p/CHbxJXbHyIy/; 725; 36]
[2020-11-10 21:50:45+00:00; pavinatto; Você sabe o que são as ANSF?  #sampa #saopaulo #sãopaulo #abelhas; https://www.instagram.com/p/CHbQtkenXhc/; 233; 35]
[2020-11-10 20:38:12+00:00; pavinatto; #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #vereador #familia #freddiemercury; https://www.instagram.com/p/CHbILqMH9Ny/; 934; 130]
[2020-11-10 18:22:38+00:00; pavinatto; @45.bullets obrigado pelo carinho. Agora quero saber como obter a via física pra eu expor em minha casa. #vaidar51 #pavinattobday #porqueeusouépavi; https://www.instagram.com/p/CHa45MEn036/; 621; 7]
[2020-11-10 12:11:54+00:00; pavinatto; Vouchers de educação.; https://www.instagram.com/p/CHaOEO5Hg-0/; 157; 7]
[2020-11-09 19:38:54+00:00; pavinatto; A paixão pelo teatro.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #vereador #familia #teatro #cultura   #pic #picture #pictureoftheday; https://www.instagram.com/p/CHYc06Wnmvy/; 349; 11]
[2020-11-09 16:02:36+00:00; pavinatto; Vou apresentar soluções para o fracasso das políticas de revitalização no centro de São Paulo. Espero vocês às 20h.; https://www.instagram.com/p/CHYEEraHmJx/; 322; 10]
[2020-11-09 13:04:44+00:00; pavinatto; Vereador não tem governo!; https://www.instagram.com/p/CHXvlTAn3ue/; 242; 6]
[2020-11-08 23:42:42+00:00; pavinatto; Comendo pastel do jeito certo: com os eleitores e com meu dinheiro, sem fundo eleitoral.   #PorqueEuSouÉPavi; https://www.instagram.com/p/CHWT7vAn3om/; 498; 52]
[2020-11-08 22:41:52+00:00; pavinatto; Homenagem ao meu amado avô  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #vereador #familia  #pic #picture #pictureoftheday #picoftheday; https://www.instagram.com/p/CHWM-M5n6MJ/; 584; 20]
[2020-11-08 21:49:34+00:00; pavinatto; O grito da vitória: 51111; https://www.instagram.com/p/CHWG_FLHcKP/; 1929; 90]
[2020-11-08 21:15:39+00:00; pavinatto; ; https://www.instagram.com/p/CHWDFRenIyH/; 325; 11]
[2020-11-08 13:51:34+00:00; pavinatto; Mostrando quem sou e o que fiz!  . . . #PorqueEuSouÉPavi #eleições2020 #vereador #saopaulo #sampa; https://www.instagram.com/p/CHVQSKzHcz5/; 874; 22]
[2020-11-07 22:06:41+00:00; pavinatto; e o que o vereador pode fazer pela cultura?  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #cultura #centro #periferia #funk #museu #vereador; https://www.instagram.com/p/CHTj5XCnSbb/; 186; 10]
[2020-11-07 20:16:28+00:00; pavinatto; Projeto pequeno cidadão.; https://www.instagram.com/p/CHTXS86n3rr/; 117; 8]
[2020-11-07 14:35:49+00:00; pavinatto; A jiboia.   #album #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia   #pic #picture #pictureoftheday #picoftheday; https://www.instagram.com/p/CHSwjTlHKl9/; 543; 14]
[2020-11-06 21:37:08+00:00; pavinatto; E o que seu candidato pensa sobre #cultura ?; https://www.instagram.com/p/CHQ7r-1Ho9H/; 153; 9]
[2020-11-06 19:10:07+00:00; pavinatto; A maior biblioteca da história.; https://www.instagram.com/p/CHQq703n5Nj/; 175; 8]
[2020-11-06 14:57:22+00:00; pavinatto; O menino maluquinho sorridente que queria ser presidente.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #album #democracia #creche #presidente #criança #infancia; https://www.instagram.com/p/CHQOOSOngNM/; 619; 25]
[2020-11-05 22:14:59+00:00; pavinatto; SÃO PAULO TEM A DIGNIDADE QUE MERECE?  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato; https://www.instagram.com/p/CHObWHhH9nI/; 266; 10]
[2020-11-05 17:01:34+00:00; pavinatto; O que farei pelas pessoas com necessidades especiais.; https://www.instagram.com/p/CHN3f1eHRaN/; 143; 7]
[2020-11-05 14:41:21+00:00; pavinatto; #velhainfancia na linda #itapira   #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #democracia #album; https://www.instagram.com/p/CHNnmFPH4Cv/; 514; 27]
[2020-11-04 21:41:50+00:00; pavinatto; E você está satisfeito com sua Subprefeitura.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #subprefeitura #democracia; https://www.instagram.com/p/CHLy0OLHsll/; 235; 12]
[2020-11-04 18:32:51+00:00; pavinatto; O que farei pelos moradores de rua?; https://www.instagram.com/p/CHLc9JynhHN/; 151; 11]
[2020-11-04 16:49:40+00:00; pavinatto; Por Reinaldo Azevedo  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato; https://www.instagram.com/p/CHLRWuAH4k6/; 364; 15]
[2020-11-04 01:53:14+00:00; pavinatto; e você sabe qual a utilidade das LEIS MUNICIPAIS?  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato; https://www.instagram.com/p/CHJq1MunjJ7/; 305; 17]
[2020-11-03 21:12:17+00:00; pavinatto; #justicapormariferrer; https://www.instagram.com/p/CHJKtFjnRSr/; 860; 56]
[2020-11-03 18:03:25+00:00; pavinatto; Entre Miami e Nova Iorque eu lia JUDAS do escritor israelense Amós Oz. Sacha Baron Cohen me perguntou: Que idioma está a capa? Assim eu conheci esse artista fantástico que chacoalhou o mundo neste momento de catarse imbecil polarizada com o retorno do seu principal personagem: Borat.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #pic #picture #pictureoftheday #picoftheday; https://www.instagram.com/p/CHI1IYBnHnc/; 639; 18]
[2020-11-03 16:19:25+00:00; pavinatto; Tenho proposta para terceira idade?; https://www.instagram.com/p/CHIpBSrnl6T/; 194; 9]
[2020-11-03 01:47:19+00:00; pavinatto; ; https://www.instagram.com/p/CHHFPKinRYm/; 480; 29]
[2020-11-03 00:25:27+00:00; pavinatto; #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato; https://www.instagram.com/p/CHG8Dj0ntcR/; 240; 6]
[2020-11-02 22:46:43+00:00; pavinatto; E você conhece seu candidato?  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato; https://www.instagram.com/p/CHGwtleHN1i/; 311; 15]
[2020-11-02 16:29:40+00:00; pavinatto; Quer ajudar um dos únicos projetos que só promete aquilo que pode ser cumprido? Que não confronta leis estaduais, federais, a constituição nem extrapola a função do vereador? Siga esses passos.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato; https://www.instagram.com/p/CHGFm3cHGU_/; 518; 17]
[2020-11-01 21:27:44+00:00; pavinatto; Sim!  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato; https://www.instagram.com/p/CHEC0xmH6nk/; 310; 11]
[2020-11-01 18:47:35+00:00; pavinatto; Vamos celebrar a “Festum Omnium Sanctorum” (Festa de Todos os Santos)... Porque só os santos fazem milagre: vereador não!  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato; https://www.instagram.com/p/CHDwmHMHs7n/; 225; 4]
[2020-11-01 01:07:44+00:00; pavinatto; Lembrança de um Hallowen muito divertido com o @walerioaraujo e eu monstruosamente fantasiado de Dilma.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato #pic #picture #pictureoftheday #picoftheday; https://www.instagram.com/p/CHB3Tjon0lL/; 744; 19]
[2020-10-31 20:33:26+00:00; pavinatto; Você sabe qual o papel de um vereador?  #PorqueEuSouÉPavi #Pavi51111 #Eleicoes #Eleicoes2020 #eleições2020 #candidato; https://www.instagram.com/p/CHBXxJnnMlv/; 721; 41]
[2020-10-31 16:53:22+00:00; pavinatto; Originário da Sicília, viveu durante a perseguição aos cristãos e morreu como mártir da Igreja pelas mãos dos Imperadores Diocleciano e Maximiano. Que paulistano nunca comemorou São Vito?  Fundada em 1919 a Associação Beneficente São Vito Mártir promove anualmente a Festa de São Vito no bairro do Brás. Vito é considerado o santo padroeiro dos atores, comediantes, dançarinos e epiléticos. Diz-se também que ele protege contra raios, ataques de animais e dormir demais.  São Benedito nasceu perto de Messina (Sicília) em 1526. Seus pais foram escravos etíopes que não queriam ter filhos para não gerarem mais escravos. O senhor deles, sabendo disso, prometeu que, se eles tivessem um filho, daria a ele a liberdade. Assim, eles tiveram Benedito, “abençoado”. E, como prometido, foi libertado ainda menino.  Benedito foi educado por seus pais na fé cristã. Quando tinha 20 anos foi insultado por causa de sua raça. Porém, com muita calma e paciência suportou tudo. Vendo isso, o líder dos eremitas franciscanos, Frei Jerônimo Lanza, convidou-o para fazer parte da congregação. São Benedito aceitou prontamente.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #santo #santos #igreja #catolicos #comida #alimentação #fé #fe; https://www.instagram.com/p/CHA-uqDnOOz/; 269; 3]
[2020-10-31 00:18:57+00:00; pavinatto; Etiqueta do Pastel com Caldo de Cana. Com @arthurmoledoval   #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato; https://www.instagram.com/p/CG_M1VmnhP_/; 687; 56]
[2020-10-30 21:35:18+00:00; pavinatto; Dia 30 de outubro: Dia do Material Bélico. Nestas eleições, um estilingue luta contra canhões.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #liberdade #vaidar51 #vereador #lei #direito #candidato; https://www.instagram.com/p/CG-56piHSba/; 556; 46]
[2020-10-30 15:02:00+00:00; pavinatto; São Benedito nasceu perto de Messina (Sicília) em 1526. Seus pais foram escravos etíopes que não queriam ter filhos para não gerarem mais escravos. O senhor deles, sabendo disso, prometeu que, se eles tivessem um filho, daria a ele a liberdade. Assim, eles tiveram Benedito, “abençoado”. E, como prometido, foi libertado ainda menino.  Benedito foi educado por seus pais na fé cristã. Quando tinha 20 anos foi insultado por causa de sua raça. Porém, com muita calma e paciência suportou tudo. Vendo isso, o líder dos eremitas franciscanos, Frei Jerônimo Lanza, convidou-o para fazer parte da congregação. São Benedito aceitou prontamente.  Foi para o convento dos franciscanos capuchinhos onde assumiu uma função tida como secundária: a de cozinheiro. Benedito fez da cozinha um santuário de oração e fervor. Vivia sempre alegre e com muita mansidão, conquistando a todos com sua comida saborosa e sua simpatia.  Protetor da cozinha, dos cozinheiros, contra a fome e a falta de alimentos, rogai por este Brasil.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #santo #santos #igreja #catolicos #comida #alimentação #fé #fe #fome #cozinha #saobenedito #afro #negro #liberdade; https://www.instagram.com/p/CG-NMMLH1Es/; 351; 8]
[2020-10-29 22:56:50+00:00; pavinatto; 29 de outubro é o dia nacional do Livro. Atendendo a pedidos de alunos e amigos, os 9 livros que mais marcaram minha vida:  1- LITERATURA BRASILEIRA: Vidas secas (Graciliano Ramos);  2- LITERATURA ESTRANGEIRA: Judas (Amós Oz);  3- POESIA: Poesia Completa de Alberto Caeiro (Fernando Pessoa);  4- TEMÁTICA LGBTQIA+: A linha da beleza (@alanjhollinghurst);  5- BIOGRAFIA: M - O filho do século (@antonioscurati);  6- FILOSOFIA/POLÍTICA: A Sociedade Aberta e os seus inimigos (Karl Popper);  7- RELIGIÃO: O Deus de cada um (Ulrich Bech);  8- DIREITO: Teoria pura do Direito (Hans Kelsen); e  9- O LIVRO QUE ME FEZ CHORAR: Serotonina (@michelhouellebecqfan)  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #livros #livro #livres #cultura #educação #leitura; https://www.instagram.com/p/CG8evGlHH_1/; 415; 22]
[2020-10-29 14:47:31+00:00; pavinatto; #tbt Nova Iorque, 2018 Sem mais.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #pic #picture #pictureoftheday #picoftheday #boehmianrhapsody #freddiemercury #queen #movie; https://www.instagram.com/p/CG7mvK_n_vu/; 375; 12]
[2020-10-28 17:30:56+00:00; pavinatto; 28 de outubro é dia de São Judas Tadeu, apóstolo de Cristo e irmão de Tiago. É o santo patrono das causas desesperadas e das causas perdidas: é o santo daqueles que, como eu, ainda acreditam na boa política.  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #santo #santos #igreja #catolicos; https://www.instagram.com/p/CG5UpLWn5H_/; 243; 10]
[2020-10-28 12:54:40+00:00; pavinatto; “Pavinatto é a evidência de que um militante não precisa ser raso e ficar gritando palavras de ordem.” - Reinaldo Azevedo  #saopaulo #sãopaulo #sp #pavinatto #pavi #51111 #pavi51111 #vida #politica #conhecimento #respeito #historia #glamour #sonho #sonhos #felicidade #diversidade #pic; https://www.instagram.com/p/CG41Bx-nWks/; 967; 37]
