2020-12-09 17:31:00+00:00; rafinhabastos; Sim... voltamos! 2020 está salvo. #IlhaDeBarbados; 42381; 1308; ; ; https://www.instagram.com/p/CIleCZQHydf/
2020-10-01 15:00:22+00:00; rafinhabastos; Se curtir, compartilhe.; 69196; 2738; ; ; https://www.instagram.com/p/CFzhvfInnSj/
2020-09-28 15:29:59+00:00; rafinhabastos; Se curtir, compartilhe.; 93062; 6147; ; ; https://www.instagram.com/p/CFr2ue0nFXZ/
2020-09-21 23:14:21+00:00; rafinhabastos; Se curtir, compartilhe.; 65406; 6148; ; ; https://www.instagram.com/p/CFaqSSMHASP/
2020-09-15 21:29:25+00:00; rafinhabastos; Vitão não!!! Talaricos não passarão. #TeamWhinderson #ForaGuaraVitão; 64719; 2825; ; ; https://www.instagram.com/p/CFLBmc8HLzP/
2020-09-15 17:24:11+00:00; rafinhabastos; Feliz aniversário, meu amor 🇧🇷🇪🇨🇺🇸 #ForaVitão! ❤️ Happy birthday my brazilian/equatorian/american love! ❤️; 45709; 536; ; ; https://www.instagram.com/p/CFKlsHRHHh7/
2020-09-08 23:55:31+00:00; rafinhabastos; Deixe o seu comentário... e se curtir muito, compartilha nos seus stories.; 26114; 1030; ; ; https://www.instagram.com/p/CE5Qqo9Hv1X/
2020-09-07 00:43:01+00:00; rafinhabastos; Saudade de fazer sofisticadas piadocas sobre meu pênis. /// I miss telling dick jokes for a living (📸: @dandavieshere; 9492; 105; ; ; https://www.instagram.com/p/CE0MwZtneog/
2020-08-31 22:54:27+00:00; rafinhabastos; Se curtir, compartilha.; 27067; 975; ; ; https://www.instagram.com/p/CEkjVtwnH2z/
2020-08-21 17:12:31+00:00; rafinhabastos; Trecho do meu show ULTIMATO. Assiste a íntegra na Netflix. Se curtir, compartilha.; 37097; 993; ; ; https://www.instagram.com/p/CEKL-pZnKak/
2020-08-10 23:06:22+00:00; rafinhabastos; No Flow. Tá no youtube e já tem mais de 1 milhão de views. Valeu!!!!; 34641; 414; ; ; https://www.instagram.com/p/CDugO03HgGe/
2020-08-09 15:23:01+00:00; rafinhabastos; Meu companheiro de TODAS as horas. Obrigado pela parceria, filho. Feliz dia pra todos os pais de verdade... não só os de passeio. 🙌🙌🙌; 26063; 166; ; ; https://www.instagram.com/p/CDrGaQYHKgf/
2020-08-08 15:53:35+00:00; rafinhabastos; Ele diria que é inveja. Se curtir, compartilha.; 77398; 2975; ; ; https://www.instagram.com/p/CDojhCrHHT6/
2020-08-06 13:35:53+00:00; rafinhabastos; Como diz ele: Melhores amigos da vida infinita. 🧔🏻👦🏻; 23034; 226; ; ; https://www.instagram.com/p/CDjLxCIhJjy/
2020-08-05 20:17:08+00:00; rafinhabastos; Mucho amooor! ❤️; 28837; 2607; ; ; https://www.instagram.com/p/CDhUyi5n1ys/
2020-08-04 14:41:44+00:00; rafinhabastos; Eu em 2019 no @justforlaughs, o maior festival de comédia do mundo. Hoje as 10h, vai ao ar na @ctvcomedy (Canadá) o programa que gravei em Montreal ao lado de comediantes que admiro muito como Jim Dore (@tvsjondore), Andrew Santino (@cheetosantino), Modi (@modi_live), Jim Norton (@jimnorton) e Dan Soder (@dansoder). Não perde! E se você não mora no Canadá, vai ter que esperar meu especial em inglês. Pretendo lançar logo, logo 🤞 (de preferência depois do Corona pq gravar no parque ou no drive-in seria triste). /// 🇺🇸 Me at @justforlaughs in 2019. Today at 10pm, @ctvcomedy will air the program I recorded in Montreal alongside with guys like Jim Dore (@tvsjondore), Andrew Santino (@cheetosantino), Modi (@modi_live), Jim Norton (@jimnorton) e Dan Soder (@dansoder) will be aired on @ctvcomedy (Canada) ). Don't lose! And if you don't live in Canada, you'll have to wait for my special in English that I intend to release soon (after the virus, because shoot it at the park or at a drive-in would be the saddest thing ever).; 5063; 41; ; ; https://www.instagram.com/p/CDeJtllHyxk/
2020-08-03 20:49:30+00:00; rafinhabastos; Se curtir, compartilha.; 32427; 989; ; ; https://www.instagram.com/p/CDcO0zVHii9/
2020-08-01 21:28:14+00:00; rafinhabastos; Mucho amooooor! ❤️; 20128; 151; ; ; https://www.instagram.com/p/CDXJ2SbHmvI/
2020-07-31 16:52:24+00:00; rafinhabastos; Rafinha coach tá voando, senhoras e senhores.; 21511; 1250; ; ; https://www.instagram.com/p/CDUEZwBnN2P/
2020-07-30 22:19:59+00:00; rafinhabastos; #tbt 1976-2020 Eu não evolui muito.; 21794; 342; ; ; https://www.instagram.com/p/CDSGLkYnYTi/
2020-07-27 19:15:35+00:00; rafinhabastos; Eu ri pouco, viu?! Nossasinhora... que momento lindo. #AssaltaSamba; 33582; 1415; ; ; https://www.instagram.com/p/CDKChC3nG8f/
2020-07-25 01:09:15+00:00; rafinhabastos; Aquele videozinho que não agrada ninguém. 🙌🙌🙌; 18099; 1348; ; ; https://www.instagram.com/p/CDC8YIJHKMo/
2020-07-21 14:40:04+00:00; rafinhabastos; Se curtir, compartilha.; 52336; 2268; ; ; https://www.instagram.com/p/CC6GJf_Hfef/
2020-07-20 00:04:52+00:00; rafinhabastos; Imagem registrada 4 segundos após a frase: - Filho... vamos tirar uma foto fofa pra mandar pra vovó!; 16852; 79; ; ; https://www.instagram.com/p/CC19cGNnsFJ/
2020-07-15 21:11:22+00:00; rafinhabastos; O 8 MINUTOS (agora MAIS QUE 8 MINUTOS) acaba de completar sete anos de existência. Muito papos que tive foram inesquecíveis pra mim... esse foi um deles. Acabo de abrir um canal no youtube com momentos especiais do programa. O link tá na bio.; 24077; 386; ; ; https://www.instagram.com/p/CCrWRcRHpyB/
2020-07-14 20:25:18+00:00; rafinhabastos; Envie esse vídeo para o seu amigo gringo que pergunta: Que merda é essa que está acontecendo no Brasil? Versão com legenda em inglês no @raficomedy. Version with an English subtitles at @raficomedy.  Roteiro: Me, @victorahmar and @bicmuller Edição: Me and @doreiki; 38162; 3069; ; ; https://www.instagram.com/p/CCor59Nnh7N/
2020-07-11 17:33:31+00:00; rafinhabastos; Olá, pandemia! A senhora poderia ir pro inferno pra que eu possa dar continuidade a minha vida? Tava tudo tão certo. Que tal? Obrigado. /// 🇺🇸 Hello, pandemic! Could you please go to hell so I can continue my life? Everything was going so well. Thanks.; 10140; 131; ; ; https://www.instagram.com/p/CCgqSytHOv8/
2020-07-09 12:52:31+00:00; rafinhabastos; #tbt 2009 - Tempo em que esse jovem inconsequente aqui tinha respaldo jurídico de uma emissora de TV. Época boa em que meus honorários advocatícios eram pagos por terceiros. Saudade.; 19617; 211; ; ; https://www.instagram.com/p/CCbAi2fH_4Z/
2020-07-08 22:48:34+00:00; rafinhabastos; O OITO MINUTOS (agora MAIS QUE 8 MINUTOS) acaba de completar sete anos de existência. Muito papos que tive foram inesquecíveis pra mim... esse foi um deles. Talvez o mais surpreendente. Eu não imaginei que ele seria assim.; 27249; 401; ; ; https://www.instagram.com/p/CCZfLnpH4xi/
2020-07-07 18:51:00+00:00; rafinhabastos; 🙏🙏🙏; 55430; 2469; ; ; https://www.instagram.com/p/CCWf-wZnKYp/
2020-07-02 20:50:33+00:00; rafinhabastos; Se curtir, compartilha.; 14933; 497; ; ; https://www.instagram.com/p/CCJ0hNenymi/
2020-06-29 00:19:46+00:00; rafinhabastos; Felizmente me enviaram a outra versão. Assiste aí!; 44965; 3771; ; ; https://www.instagram.com/p/CB_52c_HOOu/
2020-06-27 22:57:02+00:00; rafinhabastos; Repórter é assaltada ao vivo na CNN Brasil. Mano do céu! Bandido no Brasil vive muito tranquilo. Rouba celular ao vivo na televisão SEM MÁSCARA enquanto todo mundo tá usando uma. Ê BRASILZÃOOO!!! 🇧🇷; 16136; 847; ; ; https://www.instagram.com/p/CB9LeiuH9uj/
2020-06-26 17:32:47+00:00; rafinhabastos; Um raio-x completo da família mais controversa da história do país. Quadro novo. Espero que você curta. Se gostou, compartilha. Ps: Tá no YouTube também, por isso que no vídeo tem esse papo todo de se inscrever e clicar no sininho. Mals ae!; 22861; 1594; ; ; https://www.instagram.com/p/CB5_WTbnZk9/
2020-06-23 22:30:30+00:00; rafinhabastos; Se curtir, compartilha.; 18336; 651; ; ; https://www.instagram.com/p/CBy1hdanmAR/
2020-06-21 20:53:53+00:00; rafinhabastos; Aqui vai uma homenagem a este paizão que nunca deixa os filhos na mão. #happyfathersday (edição: doreiki); 22647; 1558; ; ; https://www.instagram.com/p/CBtgmrCHihd/
2020-06-20 20:57:20+00:00; rafinhabastos; Amor em tempos de Corona. ❤️ Ps: O lugar estava vazio e tiramos a máscara só pra tirar a foto. Nenhum popular foi contaminado na execução do clique.; 43040; 455; ; ; https://www.instagram.com/p/CBq87OPnNtc/
2020-06-20 01:29:18+00:00; rafinhabastos; Eu poderia escrever aqui alguma piadinha divertida, mas eu estaria apenas tentando esconder o fato que só postei esta foto porque me achei bonito. Obrigado.; 45639; 1028; ; ; https://www.instagram.com/p/CBo3QN2nS0R/
2020-06-19 23:19:29+00:00; rafinhabastos; Se curtir, compartilha.; 29360; 1569; ; ; https://www.instagram.com/p/CBooOxrnv8k/
2020-06-17 17:46:50+00:00; rafinhabastos; Esse é o meu amigo Marco (@marco_a.d._souza). Além de cover do Diego Hipólito, o Marco é um excelente policial em Porto Alegre. Ele trabalha de maneira honesta e aponta os erros e abusos cometidos por outros policiais. Seja como o Marco. /// Essa semana fiz uma série de críticas ao trabalho policial. Apesar do peso das imagens, muita gente apareceu aqui para defender a polícia. Gostaria de deixar claro: Em nenhum momento disse que TODOS são iguais. Apenas apontei a crueldade e os frequentes abusos daqueles que ou usam a farda pra despejar o seu sadismo, ou parecem não entender a responsabilidade que tem nas mãos. São muitos... mas outros tantos são como o Marco. Que você encontre um deles quando precisar de ajuda. 🙌 Ps: Não escrevi sob pressão. Por incrível que pareça, aqueles que me ameaçam não usam farda. Os que me ameaçam se dizem “homens de família” no perfil das redes sociais.; 42527; 726; ; ; https://www.instagram.com/p/CBi4vQBnv6K/
2020-06-16 20:48:11+00:00; rafinhabastos; Se curtir, compartilha.; 27575; 1287; ; ; https://www.instagram.com/p/CBgnwoHn5Iy/
2020-06-14 01:02:38+00:00; rafinhabastos; Mais um George Floyd de todo dia no Brasil. Isso aconteceu hoje em São Paulo. Por sorte, a câmera mostra o número da viatura e os policiais já estão sendo investigados. Ações como essa acontecem aqui a todo momento e raramente chegam ao conhecimento do público. Até porque nem a vítima e muito menos as testemunhas tem coragem de denunciar o abuso. Foi exatamente isso que aconteceu nesse caso. O rapaz disse ao delegado que estava machucado porque havia escorregado na escada. Esse é o Brasil. #SãoPaulo #policebrutality /// 🇺🇸 The George Floyds of everyday in Brasil.; 75833; 4878; ; ; https://www.instagram.com/p/CBZW6qRHFtW/
2020-06-13 22:32:12+00:00; rafinhabastos; Mais um George Floyd de todo dia no Brasil. Ah... se o mundo soubesse como são as coisas aqui. A imagem é tão comum para nós, que nem choca mais. O mundo protestando a morte de 1 homem e nós anestesiados... cansados. #policebrutality #brasil /// 🇺🇸 The Georges Floyds of every day in Brazil. Ah... if the world knew how things are here. The image is so common to us that it doesn’t shock us anymore. The world protesting the death of 1 man and we were anesthetized ... tired. Sad.; 593876; 22201; ; ; https://www.instagram.com/p/CBZE4VVHfAJ/
2020-06-12 17:47:45+00:00; rafinhabastos; Te amo muito. ❤️; 60986; 392; ; ; https://www.instagram.com/p/CBWA3qIHGcF/
2020-06-10 16:52:05+00:00; rafinhabastos; Obrigado pela msg, meu velho.; 38993; 1826; ; ; https://www.instagram.com/p/CBQwn2tH7ZL/
2020-06-09 17:53:40+00:00; rafinhabastos; Compartilhe.; 25301; 3577; ; ; https://www.instagram.com/p/CBOScJInng-/
2020-06-08 22:09:24+00:00; rafinhabastos; Manual definitivo para falar com quem não ouve.; 24438; 1620; ; ; https://www.instagram.com/p/CBMLeFVHuPM/
2020-06-07 18:04:51+00:00; rafinhabastos; Grande dia!!!! É pra comemorar, BRASIL!!! 24 horas sem o presidente falar bosta. 🙌🙌🙌; 60004; 2202; ; ; https://www.instagram.com/p/CBJKyZLnS-U/
2020-06-06 17:09:51+00:00; rafinhabastos; Compartilhe a mensagem.; 18415; 709; ; ; https://www.instagram.com/p/CBGfaAznnOS/
2020-06-04 17:44:00+00:00; rafinhabastos; Compartilha. 🙏; 38409; 126; ; ; https://www.instagram.com/p/CBBZ2bCnmXO/
2020-06-03 18:19:42+00:00; rafinhabastos; Se curtir, compartilha. Ps: Vídeo dos amigos do canal EMBRULHA PRA VIAGEM (@embrulhaoficial). Busca no youtube que o canal é animal!!!; 21757; 84; ; ; https://www.instagram.com/p/CA-5GKmnqEQ/
2020-06-01 20:55:55+00:00; rafinhabastos; Se curtir o boomerzão aqui, compartilha.; 19309; 1881; ; ; https://www.instagram.com/p/CA6Bk24HxRL/
2020-05-31 01:41:48+00:00; rafinhabastos; A abertura do programa do Eduardo Bolsonaro no Youtube ficou show!; 71272; 4170; ; ; https://www.instagram.com/p/CA1Yve-nWLs/
2020-05-30 17:58:34+00:00; rafinhabastos; Vai preparando essa chamada, professora!; 23994; 1024; ; ; https://www.instagram.com/p/CA0jxd5H5Tz/
2020-05-29 00:56:05+00:00; rafinhabastos; #tbt MTV 2010 Esse dia foi louco. @tatawerneck @paulinhoserra10; 11080; 117; ; ; https://www.instagram.com/p/CAwJ9scnZ4f/
2020-05-28 16:21:31+00:00; rafinhabastos; Se curtir, compartilha.; 14858; 1151; ; ; https://www.instagram.com/p/CAvO30enxr0/
2020-05-27 20:19:42+00:00; rafinhabastos; Se curtir, compartilhe. Aguardo o teu comentário.; 23099; 2481; ; ; https://www.instagram.com/p/CAtFVQ8nAw8/
2020-05-26 16:42:27+00:00; rafinhabastos; No final dos anos 90, minha vida girava em torno do basquete. Eu trabalhava numa emissora de TV, mas o que me movia era colocar o tênis e correr pra quadra. No ano de 1999, recebi uma oportunidade absolutamente inesperada... coisa de filme: Uma universidade americana me ofereceu uma bolsa pra estudar comunicação e jogar basquete na NCAA, a liga de onde saem 95% dos atletas que vão pra NBA. Em agosto daquele ano, enchi uma mala de roupas e fui pro estado do Nebraska seguir o meu sonho. Infelizmente as coisas não saíram como eu esperava. Quando a jornada estava apenas iniciando, tive o plano interrompido. Após apenas 5 meses no país, sofri uma lesão grave num treino. Em um choque com uma colega de time, fraturei o rosto em 2 lugares. Passei por 2 cirurgias (eu era lindo... agora sou essa bosta que você conhece) e decidi não voltar pros EUA. Foi, sem dúvida, um dos momentos mais frustrantes da minha vida. Durante anos, sonhei com aquele lugar. Durante anos, sofri com o arrependimento de não ter voltado pra terminar o que comecei. Nunca imaginei que teria uma chance de corrigir o meu erro. Pois bem... eu estava enganado. Quase vinte anos depois, minha nova paixão, a comédia, me deu uma oportunidade de reparar o meu equívoco. Em 2018, me mudei pros EUA pra seguir a minha carreira de comediante. Foram 2 anos crescendo, aprendendo, evoluindo e dividindo o palco com gente que admiro há anos. Participei de festivais, fui aprovado nos maiores clubes de comédia e, finalmente, parei de sonhar com o erro de 1999.  Foi então que, este ano, tudo parou... de novo. Tive que interromper a minha jornada... mais uma vez. É como se o pesadelo tivesse voltado a me atormentar. É desesperador. Estou em SP... sem saber quando vou poder voltar, mas de uma coisa eu tenho certeza: Dessa vez eu vou fazer diferente. Nada vai me fazer desistir. Vou retomar o que apenas comecei. Sei que tem muita gente com mesmo sentimento de “sonho interrompido”. Vai passar... e a gente vai voltar a lutar. Força pra nós! Ps1: Nem preciso dizer que tem pessoas com problemas muito mais graves que o meu agora, mas resolvi dividir a minha angústia. Ps2: O nariz permanece o mesmo.; 49525; 1306; ; ; https://www.instagram.com/p/CAqH4gmnvnF/
2020-05-25 14:32:35+00:00; rafinhabastos; Meu sonho. 🙏; 29740; 527; ; ; https://www.instagram.com/p/CAnUOdEHXcx/
2020-05-24 23:02:42+00:00; rafinhabastos; Se curtir, compartilha.; 25559; 1649; ; ; https://www.instagram.com/p/CAlpV-VHJzU/
2020-05-24 02:36:53+00:00; rafinhabastos; Quarentena louca!!! Crazy quarantine!!! Mise en quarantaine folle!!! Verrückte Quarantäne!!! #PéSujoÉShow; 31623; 269; ; ; https://www.instagram.com/p/CAjdhq8n2-z/
2020-05-23 21:12:52+00:00; rafinhabastos; A poesia de JAIR BOLSONARO. Um rápido resumo da reunião ministerial. #bolsonaro #família; 45134; 3992; ; ; https://www.instagram.com/p/CAi4U9nHMuA/
2020-05-23 02:02:43+00:00; rafinhabastos; Compartilha isso!!! Vai dar merda!!!; 41862; 4733; ; ; https://www.instagram.com/p/CAg0vGwHzUd/
2020-05-21 16:35:25+00:00; rafinhabastos; Se curtir, compartilha.; 18029; 1859; ; ; https://www.instagram.com/p/CAdOyXPnEXE/
2020-05-20 22:50:06+00:00; rafinhabastos; Se curtir, compartilha.; 23895; 975; ; ; https://www.instagram.com/p/CAbVEkSnzSU/
2020-05-20 10:50:49+00:00; rafinhabastos; Eu e esse carinha na quarentena. Obrigado pela parceria, Tonzera. Mó daora ser pai. Se eu não gastasse tanto com advogado, teria mais 15. ❤️ /// 🇺🇸 Me and this guy living quarantine. So cool to be a father!!! If I didn’t spend so much money with lawyers, I would’ve had 15 more. ❤️; 48546; 327; ; ; https://www.instagram.com/p/CAaC30CnGgc/
2020-05-19 22:37:31+00:00; rafinhabastos; É fácil falar quando não se tem muito a perder. Se curtir, compartilha.; 35797; 2020; ; ; https://www.instagram.com/p/CAYugn7HJ3R/
2020-05-18 19:52:21+00:00; rafinhabastos; Todo dia eu boto um mamão nessa sacola e passeio pela cidade com a liberdade de quem trabalha com delivery. /// 🇺🇸 Every day I put a papaya in this bag and walk around the city with the freedom of those who work with delivery.; 15943; 221; ; ; https://www.instagram.com/p/CAV3QYUHjwt/
2020-05-18 12:55:03+00:00; rafinhabastos; Bolsominion.... 4 minutos antes da overdose de cloroquina. #ObrigadoGuerreiras #EuVimDeSP #CLOROQUINER; 33582; 3522; ; ; https://www.instagram.com/p/CAVHKe7HzVt/
2020-05-16 23:53:40+00:00; rafinhabastos; Se curtir, compartilha.; 26939; 1307; ; ; https://www.instagram.com/p/CARJMwWHpeR/
2020-05-15 16:41:48+00:00; rafinhabastos; Postando essa no feed pra, no futuro, olhar pra trás e lembrar com ele: Filho, lembra de quando só usávamos esse máscara? Saudade da era pré capacete anti-radioativo.... aquele tempo em que saíamos pra rua sem estes trajes pressurizados que apertam nossos testículos.; 18185; 125; ; ; https://www.instagram.com/p/CANzECTn74v/
2020-05-14 23:40:34+00:00; rafinhabastos; Live com o Ciro Gomes hoje pro Ilha de Barbados (o vídeo tá lá no canal). É muito legal ver que os grandes nomes da política brasileira hoje veem a Internet com a devida importância. Olha a quantidade de gente grande que já passou pelo Ilha e pelo 8 minutos. Hoje foi muito daora! Amanhã tem live no meu canal as 18h com o Pondé. Essa quarentena tá produtiva.; 20796; 742; ; ; https://www.instagram.com/p/CAL-MXzHPVo/
2020-05-12 14:50:20+00:00; rafinhabastos; Se curtir, compartilha.; 22943; 1230; ; ; https://www.instagram.com/p/CAF3bISnaGd/
2020-05-10 17:43:05+00:00; rafinhabastos; @danielgiffoni @rodrigo.geribello; 9277; 243; ; ; https://www.instagram.com/p/CABBgb-H2JK/
2020-05-10 02:50:56+00:00; rafinhabastos; Quero agradecer minha namorada pela dor de garganta, o que possibilitou a mais deliciosa ida a farmácia de toda a minha vida. Infelizmente ela está curada e a cena não se repetirá tão cedo. Peço a sua oração para mais uma enfermidade dela. 🙏 /// 🇺🇸 I want to thank my girlfriend for the sore throat, which made this the most delicious trip to the pharmacy of my life. Unfortunately she is cured and the scene will not be repeated anytime soon.; 35690; 314; ; ; https://www.instagram.com/p/B__cAQ5nv3M/
2020-05-09 20:01:59+00:00; rafinhabastos; Se curtir, compartilhe.; 23771; 979; ; ; https://www.instagram.com/p/B_-tIBonpgM/
2020-05-08 18:37:56+00:00; rafinhabastos; Se curtir, compartilha. 🙌; 40188; 2432; ; ; https://www.instagram.com/p/B_7-lJPn9n6/
2020-05-06 19:35:43+00:00; rafinhabastos; Se curtir, compartilha. Ps: Postando de novo porque pouca gente recebeu o vídeo ontem.; 39124; 2076; ; ; https://www.instagram.com/p/B_27gIVH1d5/
2020-05-01 22:34:34+00:00; rafinhabastos; É bonito. Juro que é meu filho. /// 🇺🇸 Handsome. I swear it’s my kid.; 30465; 172; ; ; https://www.instagram.com/p/B_qYTkbnhCj/
2020-04-28 20:33:23+00:00; rafinhabastos; Se curtir, compartilha. Família em primeiro lugar.; 35543; 2206; ; ; https://www.instagram.com/p/B_ib0b7nmNM/
2020-04-27 17:03:02+00:00; rafinhabastos; Se curtir, compartilha nas suas redes.; 60336; 3652; ; ; https://www.instagram.com/p/B_ffBPdHywz/
2020-04-25 22:59:37+00:00; rafinhabastos; Tirei a barba. Sim, eu sei que pareço o seu pênis. Ps: Eu até diria que fiquei com carinha de ‘bumbum de neném’, mas já tive problemas nesse departamento. /// 🇺🇸 I took off my beard. Yes, I know I look like your penis.; 45424; 1177; ; ; https://www.instagram.com/p/B_a-Z00HNGa/
2020-04-23 23:29:00+00:00; rafinhabastos; O vírus nasceu no morcego, mas é ignorado pela anta e transmitido através do gado.; 70233; 3062; ; ; https://www.instagram.com/p/B_V4LNLnejo/
2020-04-23 18:50:25+00:00; rafinhabastos; Se curtir, compartilhe.; 26067; 957; ; ; https://www.instagram.com/p/B_VYIEqnA7W/
2020-04-23 17:28:21+00:00; rafinhabastos; QuarenTEAM!!! ❤️; 14034; 115; ; ; https://www.instagram.com/p/B_VO51VHqFq/
2020-04-21 16:53:22+00:00; rafinhabastos; Dica valiosa pra você. De nada. Compartilhe.; 34336; 643; ; ; https://www.instagram.com/p/B_QBT28nPFU/
2020-04-20 16:10:24+00:00; rafinhabastos; Uma liçãozinha que a epidemia me ensinou. Se curtir, compartilha.; 28423; 1143; ; ; https://www.instagram.com/p/B_NXdSSn5rP/
2020-04-19 21:26:43+00:00; rafinhabastos; Coleção Verão-Coronavirus C&A 2020, uma epidemia de bom-gosto.; 23596; 88; ; ; https://www.instagram.com/p/B_LXAJyniZR/
2020-04-18 15:43:29+00:00; rafinhabastos; Tem gente que consegue encontrar pêlo em ovo até em atitude positiva. PELO AMOR DE DEUS!  Se curtir o vídeo, compartilha.; 71806; 5137; ; ; https://www.instagram.com/p/B_IISIwHEWJ/
2020-04-16 14:20:25+00:00; rafinhabastos; Se eu tivesse um filho hoje, batizava de Itaú Personalité.; 35872; 757; ; ; https://www.instagram.com/p/B_C31KvH13i/
2020-04-13 21:13:54+00:00; rafinhabastos; E os bares? Os profissionais? O que vai rolar? Vou começar a postar uns vídeos mais longos aqui a partir de hoje.; 20719; 660; ; ; https://www.instagram.com/p/B-74DMuHBMK/
2020-04-11 14:45:18+00:00; rafinhabastos; O drama do nariz grande em tempos de pandemia - Meu nariz gigantesco empurra a máscara pra frente, criando aberturas em ambos os lados e assim permitindo a contaminação. Atenção: Preciso urgentemente da máscara do Pica-Pau, do Garibaldo ou de uma lona de circo. #NarigudoÉgrupoDeRisco; 32112; 564; ; ; https://www.instagram.com/p/B-2CtFIHwty/
2020-04-04 17:11:42+00:00; rafinhabastos; A versão original do meme.; 67910; 4531; ; ; https://www.instagram.com/p/B-kRwL9ngGh/
2020-04-03 19:34:07+00:00; rafinhabastos; Desculpe, Dani! 🤷🏻‍♂️; 67085; 1847; ; ; https://www.instagram.com/p/B-h9Wg9Hwtb/
2020-04-03 01:33:33+00:00; rafinhabastos; #tbt 2010 / 2020. Ps: Pedi pra ele fazer a mesma cara. Saiu assim.; 39849; 316; ; ; https://www.instagram.com/p/B-gBvKOnHzi/
2020-04-01 22:23:49+00:00; rafinhabastos; Passei o bastão. Posso seguir a minha vida com o sentimento de missão cumprida.; 57635; 2131; ; ; https://www.instagram.com/p/B-dHOo6H4F2/
