[2020-12-05 22:47:05+00:00; AnaPaulaVolei; @jeffs_araujo35 ❤️ Mestre demais.; 0; 0; 19; 0; https://twitter.com/AnaPaulaVolei/status/1335355040362479617; None; None] 
[2020-12-04 02:28:10+00:00; AnaPaulaVolei; @paula_rossman “Nos estados-chaves para Trump”. 🤦🏻‍♀️ Vc sabe o que é um “swing state”? Esse é o problema. Muitos de vcs aparecem só repetindo o que alguns “iSpeçiALisTaS” da GN falam. Não sejam ovelhas de manchete, minha gente. Procurem entender como funciona a política americana antes de postar.; 2; 1; 27; 0; https://twitter.com/AnaPaulaVolei/status/1334685900635172864; None; None] 
[2020-12-04 02:24:35+00:00; AnaPaulaVolei; @AleMarchi9 👍🍭🧁; 0; 0; 2; 0; https://twitter.com/AnaPaulaVolei/status/1334685000193568770; None; None] 
[2020-12-04 02:22:01+00:00; AnaPaulaVolei; @accfcosta Vc sabe o que é uma audiência pública? Sabe o que são affidavits? Sabe como anda um processo nos EUA? Meu Deus. Não sei nem como te responder.; 4; 0; 17; 0; https://twitter.com/AnaPaulaVolei/status/1334684353901649921; None; None] 
[2020-12-03 21:13:08+00:00; AnaPaulaVolei; @ElinhoBighouse São dados oficiais. Vc como advogado deve ser um ótimo veterinário. Auto-ajuda é importante. https://t.co/ga4eupIatR; 5; 2; 96; 0; https://twitter.com/AnaPaulaVolei/status/1334606617803812864; None; None] 
[2020-12-03 21:05:27+00:00; AnaPaulaVolei; Audiência Geórgia - votaram ilegalmente: -2.056 criminosos -66.248 menores de 18 anos -2.423 sem registro -1.043 usaram uma cx.postal -4.926 depois da eleição -10.315 mortos  -395 votaram em 2 estados -5.700 mudaram-se p/fora do estado -40.279 mudaram de condado e não registraram https://t.co/nJGacq8SiB; 191; 1601; 6608; 237; https://twitter.com/AnaPaulaVolei/status/1334604685227913216; None; None] 
[2020-12-03 19:49:57+00:00; AnaPaulaVolei; E antes de gritarem “teoria conspiratória”!, “orange man bad!”, mais uma vez, repito: se há INDÍCIOS, investiguem. Não? Democratas viram INDÍCIOS de conluio c/a Rússia e tiveram uma investigação por 2 anos e meio. Existem muitas perguntas sem respostas. Apenas isso, investiguem.; 52; 611; 6065; 23; https://twitter.com/AnaPaulaVolei/status/1334585686700126208; None; None] 
[2020-12-03 19:34:22+00:00; AnaPaulaVolei; @m_tessinari @shevmatheus Que dificuldade... obrigada, Marcelo.☺️; 0; 0; 5; 0; https://twitter.com/AnaPaulaVolei/status/1334581765025931264; None; None] 
[2020-12-03 19:33:27+00:00; AnaPaulaVolei; @samaelunle @shevmatheus É o que estamos fazendo. Aguardando a explicação.😏 As imagens fazem parte de uma AUDIÊNCIA PÚBLICA, onde, inclusive foi dito que isso tudo foi REPORTADO na SEMANA da eleição. As “explicações” até hoje não apareceram. Questionar não deveria ser tão ofensivo, não acha?; 2; 2; 30; 1; https://twitter.com/AnaPaulaVolei/status/1334581531277316097; None; None] 
[2020-12-03 19:28:48+00:00; AnaPaulaVolei; @nine_right37 Já há indícios que passaram a perna no Bernie Sanders nas primárias Democratas aqui na Califórnia em 2016.; 6; 52; 1005; 2; https://twitter.com/AnaPaulaVolei/status/1334580361318187008; None; None] 
[2020-12-03 19:27:09+00:00; AnaPaulaVolei; @seutata Se alguém te falar que sabe o que vai acontecer, essa pessoa está mentindo.; 0; 0; 5; 0; https://twitter.com/AnaPaulaVolei/status/1334579948460249088; None; None] 
[2020-12-03 19:25:42+00:00; AnaPaulaVolei; @MarceloORosado @Mineiro669907 Depende das legislaturas estaduais.; 1; 0; 22; 0; https://twitter.com/AnaPaulaVolei/status/1334579583761334272; None; None] 
[2020-12-03 19:23:13+00:00; AnaPaulaVolei; @tiago_dnts @shevmatheus Realidade paralela. Ovelhas da CNN. 💁🏻‍♀️; 6; 2; 242; 0; https://twitter.com/AnaPaulaVolei/status/1334578958902300673; None; None] 
[2020-12-03 19:22:17+00:00; AnaPaulaVolei; @EVANDROSCORDEIR Corrida contra o tempo e algumas cortes estaduais com juízes apontados por Obama. As audiências públicas nos estados têm trazido alguns válidos questionamentos.; 10; 24; 646; 1; https://twitter.com/AnaPaulaVolei/status/1334578721261461504; None; None] 
[2020-12-03 19:20:12+00:00; AnaPaulaVolei; @Mineiro669907 Há um caminho até lá e ele é longo e não há tempo. Biden provavelmente assumirá. E a história continuará. Os indícios são graves, estão nos 6 estados e precisam ser investigados.; 13; 17; 133; 2; https://twitter.com/AnaPaulaVolei/status/1334578200614031360; None; None] 
[2020-12-03 19:17:20+00:00; AnaPaulaVolei; @shevmatheus O lugar foi alugado. Don’t kill the messenger.; 6; 5; 341; 0; https://twitter.com/AnaPaulaVolei/status/1334577478497521664; None; None] 
[2020-12-03 19:15:07+00:00; AnaPaulaVolei; #ElectionsUSA Imagens de vídeo da Geórgia mostram oficiais dizendo aos funcionários que contavam as cédulas para saírem da sala. Após isso, malas cheias de cédulas são retiradas de debaixo de uma mesa e apenas 4 pessoas continuam escaneando os votos. 👀   https://t.co/I3OcQYTonx; 431; 3221; 14557; 667; https://twitter.com/AnaPaulaVolei/status/1334576918218166272; None; None] 
[2020-12-03 18:28:32+00:00; AnaPaulaVolei; ⚠️ A Suprema Corte Americana acaba de revogar as ordens de lockdown contra igrejas do governador da Califórnia, Gavin Newsom, estendendo a decisão da corte contra o lockdown do governador de NY, Andrew Cuomo. #SCOTUS #FirstAmendment   https://t.co/M3YsBacGQo; 236; 1605; 12423; 146; https://twitter.com/AnaPaulaVolei/status/1334565196195487745; None; None] 
[2020-12-02 19:16:04+00:00; AnaPaulaVolei; “Permita-me oferecer minha definição de justiça social: eu fico com o que ganho e você fica com o que ganha. Vc discorda? Bem, então me diga quanto do que eu ganho pertence a você - e por quê?” Walter Williams  Um dos mais incríveis homens deste século nos deixou hoje. RIP.😞❤️ https://t.co/ezo1U2DspE; 184; 2311; 13400; 212; https://twitter.com/AnaPaulaVolei/status/1334214772129054720; None; None] 
[2020-12-01 22:19:56+00:00; AnaPaulaVolei; @realpfigueiredo Bye bye Sally Yates.; 8; 18; 792; 0; https://twitter.com/AnaPaulaVolei/status/1333898652759146496; None; None] 
[2020-12-01 17:10:25+00:00; AnaPaulaVolei; @Travistritt @Beard_Vet @MarkGeistSWP Just donated. What a beautiful project.❤️ God bless you.; 0; 0; 9; 0; https://twitter.com/AnaPaulaVolei/status/1333820763397263361; None; None] 
[2020-12-01 02:05:07+00:00; AnaPaulaVolei; @AnairisFelix1 Ooooi???? Hahaha... Dá um exemplo aí. Pelo amor de Deus, me dá um exemplo.😆 https://t.co/xLfNP0GolF; 2; 0; 11; 0; https://twitter.com/AnaPaulaVolei/status/1333592934495600645; None; None] 
[2020-12-01 01:58:55+00:00; AnaPaulaVolei; @DadsDaughter777 Governo Obama...; 2; 2; 69; 0; https://twitter.com/AnaPaulaVolei/status/1333591373748924417; None; None] 
[2020-12-01 01:53:32+00:00; AnaPaulaVolei; @kisonia @AfonsoRed_ Bots bacanas tbm são gente...😉; 0; 0; 6; 0; https://twitter.com/AnaPaulaVolei/status/1333590021417275397; None; None] 
[2020-12-01 01:45:34+00:00; AnaPaulaVolei; @YodaSapiens_29 Sério...imagina os moleques lendo isso everywhere e rindo...haha...rsrs...; 1; 0; 32; 0; https://twitter.com/AnaPaulaVolei/status/1333588015457783810; None; None] 
[2020-12-01 01:44:42+00:00; AnaPaulaVolei; @allanldsantos Loud and clear.; 6; 30; 1242; 0; https://twitter.com/AnaPaulaVolei/status/1333587797085618176; None; None] 
[2020-12-01 01:38:22+00:00; AnaPaulaVolei; @YodaSapiens_29 Tem alguém rindo muito dessas notícias...rsrs; 3; 0; 66; 0; https://twitter.com/AnaPaulaVolei/status/1333586202142801920; None; None] 
[2020-12-01 01:32:32+00:00; AnaPaulaVolei; @AfonsoRed_ Se alguém te falar que sabe com ctz o que vai sair desse imbróglio todo, para qualquer lado, essa pessoa está mentindo.; 15; 4; 153; 0; https://twitter.com/AnaPaulaVolei/status/1333584737013665793; None; None] 
[2020-12-01 01:28:58+00:00; AnaPaulaVolei; A escolha de Biden p/chefe do Homeland Security, Alejandro Mayorkas, foi denunciado em 2015 qdo era diretor dos Serviços de Cidadania e Imigração dos EUA por conseguir 'Green Cards' p/estrangeiros, incluindo chineses, conectados aos democratas. Entenderam? https://t.co/oq8arE21wg; 136; 1082; 7860; 92; https://twitter.com/AnaPaulaVolei/status/1333583839851991041; None; None] 
[2020-12-01 00:58:44+00:00; AnaPaulaVolei; @nao_esquecemos @pinheiro_cutrim @Ramos__Leo "E não adianta apelar pro ad hominem.. vc como jornalista vc é incompetente e desonesta". Vc é a piada pronta. É tão ruim de serviço, tão covarde, que precisa se esconder atrás de um teclado corajoso. Com vc não dá nem para apelar para o ad hominem pq vc não é homem.; 1; 0; 3; 0; https://twitter.com/AnaPaulaVolei/status/1333576229635559424; None; None] 
[2020-11-30 18:13:46+00:00; AnaPaulaVolei; @nao_esquecemos @pinheiro_cutrim @Ramos__Leo Põe a sua carinha aí e continuamos a discutir. A extensão para receber as cédulas APÓS O DIA 3/11 NÃO FOI FEITA OU AUTORIZADA PELA LEGISLATURA ESTADUAL. Vc é muito ruim e fraco de pesquisa.; 1; 0; 1; 0; https://twitter.com/AnaPaulaVolei/status/1333474317456138240; None; None] 
[2020-11-30 11:51:46+00:00; AnaPaulaVolei; @nao_esquecemos @pinheiro_cutrim @Ramos__Leo Essas leis NÃO existiam antes das eleições, foram criadas pela corte e governador e elas foram contestadas, sim, antes das eleições. Mas eu não vou perder meu tempo explicando o parecer para um fake. Vá ao Google e entenda.; 1; 0; 1; 1; https://twitter.com/AnaPaulaVolei/status/1333378183979155456; None; None] 
[2020-11-30 04:55:00+00:00; AnaPaulaVolei; @ForTrueNews Sim. E revertida novamente agora à noite.   https://t.co/lctuZLmuSr; 1; 0; 1; 0; https://twitter.com/AnaPaulaVolei/status/1333273302144466945; None; None] 
[2020-11-30 04:53:07+00:00; AnaPaulaVolei; @CristianDequi E revertida novamente agora à noite.   https://t.co/lctuZLmuSr; 1; 1; 8; 0; https://twitter.com/AnaPaulaVolei/status/1333272825734393857; None; None] 
[2020-11-30 04:49:14+00:00; AnaPaulaVolei; @Rakfatt E agora revertida novamente. 🤯  https://t.co/lctuZLmuSr; 0; 5; 26; 0; https://twitter.com/AnaPaulaVolei/status/1333271850802061314; None; None] 
[2020-11-30 03:02:57+00:00; AnaPaulaVolei; @nao_esquecemos @pinheiro_cutrim @Ramos__Leo Sim, por morar nos EUA e por falar inglês, eu sei o que diz a Constituição Americana sobre o poder das decisões nas regras eleitorais. Elas pertencem às legislaturas e não ao governador ou cortes estaduais. É uma batalha constitucional. Article 2, Section 1, Clause 2.; 1; 0; 0; 0; https://twitter.com/AnaPaulaVolei/status/1333245100307038208; None; None] 
[2020-11-30 02:46:18+00:00; AnaPaulaVolei; @reagan_bolado Muitos desses “recursos perdidos” não foram movidos pela campanha de Trump. Eles são públicos, vc deveria olhar os plaintiffs.; 0; 0; 4; 0; https://twitter.com/AnaPaulaVolei/status/1333240913607364610; None; None] 
[2020-11-29 21:41:40+00:00; AnaPaulaVolei; “O Ibope errou mais uma vez” é pleonasmo ou redundância?; 1692; 3164; 38657; 396; https://twitter.com/AnaPaulaVolei/status/1333164248571154432; None; None] 
[2020-11-29 21:40:56+00:00; AnaPaulaVolei; - INDÍCIOS de conluio com a Rússia! Precisamos investigar.  - Ok. Good luck.  (Dois anos e meio depois... nada.)  - INDÍCIOS de fraude nas eleições. Precisamos investigar.   - Fiquem quietos, fascistas! Parem de chorar, não há nada para investigar! “Unity”! “Heal”!; 39; 247; 2342; 11; https://twitter.com/AnaPaulaVolei/status/1333164062327205889; None; None] 
[2020-11-29 21:30:19+00:00; AnaPaulaVolei; Por que a imprensa não reporta os indícios de fraude e o direito a uma investigação?  “Quase metade (47%) dos eleitores nos EUA agora acredita que houve fraude suficiente para garantir que Biden vencesse nas recentes eleições, incluindo 75% dos republicanos e 30% dos democratas” https://t.co/sb5VZagRQh; 159; 987; 6149; 61; https://twitter.com/AnaPaulaVolei/status/1333161393999077377; None; https://twitter.com/Rasmussen_Poll/status/1333113548281683977] 
[2020-11-29 21:23:47+00:00; AnaPaulaVolei; @giselecruz10ho1 Hang in there. Saudades de Klagenfurt! 💕; 2; 0; 22; 0; https://twitter.com/AnaPaulaVolei/status/1333159748493996032; None; None] 
[2020-11-29 21:21:45+00:00; AnaPaulaVolei; @frramalho Meus stories não subiam. Vou ter que refazer sem a hashtags!; 1; 0; 1; 0; https://twitter.com/AnaPaulaVolei/status/1333159236801478656; None; None] 
[2020-11-29 21:20:26+00:00; AnaPaulaVolei; @reagan_bolado “Trump perdeu todos os recursos em todos os estados que entrou na justiça”. Vc está super bem informado. 👌; 2; 0; 18; 0; https://twitter.com/AnaPaulaVolei/status/1333158903715037184; None; None] 
[2020-11-29 21:17:50+00:00; AnaPaulaVolei; @giselecruz10ho1 Gisele, a história já transcendeu a eleição. Não é mais sobre Trump virar ou Biden seguir. É sobre o processo eleitoral e as enormes suspeitas de fraudes. Mesmo Biden assumindo, isso não vai - e não pode - parar.; 14; 39; 630; 1; https://twitter.com/AnaPaulaVolei/status/1333158251341377536; None; None] 
[2020-11-29 21:12:19+00:00; AnaPaulaVolei; @aleborknagar Por que a pressa se é tudo limpo?; 6; 7; 353; 0; https://twitter.com/AnaPaulaVolei/status/1333156862842159105; None; None] 
[2020-11-29 21:09:20+00:00; AnaPaulaVolei; O estado da Geórgia certificou o resultado da eleição, mas na recontagem não autorizou auditar as assinaturas com as cédulas. Decidiram hoje apagar os relatórios oficiais, mas um juiz acaba de ordenar que o estado não poderá mexer nas máquinas eleitorais.  https://t.co/O40LjVoOFA https://t.co/AOXP5yu7to; 195; 1030; 7365; 66; https://twitter.com/AnaPaulaVolei/status/1333156110103060480; None; None] 
[2020-11-28 18:13:45+00:00; AnaPaulaVolei; @nao_esquecemos @pinheiro_cutrim @Ramos__Leo A juiza ordenou que a Pensilvânia não certificasse os resultados da eleição, como isso não é uma decisão?!; 4; 1; 13; 0; https://twitter.com/AnaPaulaVolei/status/1332749538214305792; None; None] 
[2020-11-28 17:52:42+00:00; AnaPaulaVolei; @temperancavida @vexaoreu @pinheiro_cutrim Explicar o quê? Se fossem “leitores” LERIAM o que eu postei - várias vezes na thread. Isso já ajudaria muito.; 2; 0; 25; 0; https://twitter.com/AnaPaulaVolei/status/1332744237364899840; None; None] 
[2020-11-28 16:22:58+00:00; AnaPaulaVolei; @luigusta17 @GR_Avila @AugustoDAG @lucaselias20 Já não é mais sobre Trump virar ou Biden perder mais. Isso já não é mais o foco disso tudo.; 2; 1; 9; 0; https://twitter.com/AnaPaulaVolei/status/1332721655978676224; None; None] 
[2020-11-28 16:21:59+00:00; AnaPaulaVolei; @AbissayO @GR_Avila @AugustoDAG @lucaselias20 Ontem. https://t.co/gOOZyby9kJ; 2; 0; 7; 0; https://twitter.com/AnaPaulaVolei/status/1332721408376512515; None; None] 
[2020-11-28 16:03:51+00:00; AnaPaulaVolei; @GR_Avila @AugustoDAG @lucaselias20 Uma juíza suspendeu a verificação.; 4; 0; 21; 0; https://twitter.com/AnaPaulaVolei/status/1332716846588391425; None; None] 
[2020-11-28 06:55:16+00:00; AnaPaulaVolei; @pinheiro_cutrim @vexaoreu Seu comentário é LEVIANO. Não foi isso que eu disse. NÃO RECORTE o que eu disse. Fui clara que há setores do mercado que apostam em 15%, mas que eu não acredito nisso, que eu acredito que Biden será empossado. You are fake news.; 2; 0; 32; 0; https://twitter.com/AnaPaulaVolei/status/1332578790724145156; None; None] 
[2020-11-28 06:05:36+00:00; AnaPaulaVolei; @vexaoreu @pinheiro_cutrim Vcs acham que aqui é torcida. Estão no perfil errado. Repito: estão no perfil errado. Tudo o que está acontecendo já transcende Trump ou Biden, republicanos ou democratas. Saiam das manchetes do g1. Não sejam ovelhas de manchetes.  https://t.co/gOOZybPKch; 18; 27; 484; 5; https://twitter.com/AnaPaulaVolei/status/1332566292587376640; None; None] 
[2020-11-28 06:03:21+00:00; AnaPaulaVolei; @pinheiro_cutrim @Ramos__Leo Vou repetir pq vc parece um cara legal, vc está atrasado.  https://t.co/gOOZybPKch; 6; 4; 42; 2; https://twitter.com/AnaPaulaVolei/status/1332565723743305728; None; None] 
[2020-11-28 05:49:13+00:00; AnaPaulaVolei; @eduepsilveira Não vão. E desista do Google. Só DuckDuckGo agora.; 0; 0; 15; 1; https://twitter.com/AnaPaulaVolei/status/1332562168764461057; None; None] 
[2020-11-28 05:47:04+00:00; AnaPaulaVolei; @renatopenedo85 Já não é mais sobre “mudar resultado”. E vc está atrasado. 🙃; 0; 0; 8; 0; https://twitter.com/AnaPaulaVolei/status/1332561627787317255; None; None] 
[2020-11-28 05:45:36+00:00; AnaPaulaVolei; @BigBossBrasil1 Read from the source itself.  https://t.co/DJrt7AkPBZ; 0; 0; 4; 0; https://twitter.com/AnaPaulaVolei/status/1332561257350668288; None; None] 
[2020-11-28 05:44:06+00:00; AnaPaulaVolei; @pilattijuppen E pode ser que aconteça isso mesmo, mas só dia 14/12. 🙂; 4; 1; 23; 0; https://twitter.com/AnaPaulaVolei/status/1332560882128175105; None; None] 
[2020-11-28 05:43:18+00:00; AnaPaulaVolei; @JFabricioo Provavelmente será, mas a história não vai parar. Essa eleição não é sobre Trump ou Biden mais.; 2; 1; 23; 0; https://twitter.com/AnaPaulaVolei/status/1332560681254539264; None; None] 
[2020-11-28 05:42:21+00:00; AnaPaulaVolei; @lisyang_darwich De jeito nenhum, respondo gente bacana como vc tbm!❤️🌹 Durante o dia não tenho tempo de olhar as respostas. Obrigada pelo carinho. 💕 Bom fds!; 2; 0; 20; 0; https://twitter.com/AnaPaulaVolei/status/1332560440451244032; None; None] 
[2020-11-28 05:36:03+00:00; AnaPaulaVolei; @pedrostrader https://t.co/rFaWF1GkXG; 16; 4; 461; 0; https://twitter.com/AnaPaulaVolei/status/1332558854521982978; None; None] 
[2020-11-28 05:31:35+00:00; AnaPaulaVolei; @tmassolini https://t.co/DJrt7AkPBZ; 4; 5; 97; 2; https://twitter.com/AnaPaulaVolei/status/1332557729949380609; None; None] 
[2020-11-28 05:16:22+00:00; AnaPaulaVolei; @pinheiro_cutrim Be my guest. Vc está atrasado.   https://t.co/DJrt7AkPBZ; 5; 3; 231; 0; https://twitter.com/AnaPaulaVolei/status/1332553900575006721; None; None] 
[2020-11-28 05:14:58+00:00; AnaPaulaVolei; @AugustoDAG @lucaselias20 Eles podem decidir não enviar delegados, entre outras opções como até certificar o resultado. De acordo com a constituição americana, as regras eleitorais são decididas pela legislatura estadual e não pela corte ou governador como foi feito.; 4; 22; 243; 0; https://twitter.com/AnaPaulaVolei/status/1332553550103252992; None; None] 
[2020-11-28 05:11:12+00:00; AnaPaulaVolei; @mia_sandro Trump? Dificilmente.; 8; 0; 39; 0; https://twitter.com/AnaPaulaVolei/status/1332552600772767746; None; None] 
[2020-11-28 05:10:55+00:00; AnaPaulaVolei; @MarcosVazParana E os legisladores republicanos da Pensilvânia - maioria - querem respostas sobre as varias inconstitucionalidades nessa eleição.  https://t.co/DJrt7AkPBZ; 14; 157; 1673; 12; https://twitter.com/AnaPaulaVolei/status/1332552530220392449; None; None] 
[2020-11-28 05:09:26+00:00; AnaPaulaVolei; @pinheiro_cutrim Se me conhecesse saberia que se tem uma coisa que não faço é isso. Unfollow. Vc está no lugar errado.; 66; 26; 2380; 3; https://twitter.com/AnaPaulaVolei/status/1332552156352634881; None; None] 
[2020-11-28 05:05:58+00:00; AnaPaulaVolei; @orodrigocosta Vc está atrasado.; 10; 3; 375; 1; https://twitter.com/AnaPaulaVolei/status/1332551285657141250; None; None] 
[2020-11-28 05:00:01+00:00; AnaPaulaVolei; @lucaselias20 Não tem tic-tac, apenas um documento devastador da legislatura estadual sobre as inconstitucionalidades da eleição presidencial no estado.   https://t.co/DJrt7AkPBZ; 19; 135; 1262; 12; https://twitter.com/AnaPaulaVolei/status/1332549786759700480; None; None] 
[2020-11-28 04:50:41+00:00; AnaPaulaVolei; @raffilsks Eu, particularmente, acho que ele assume. Mas tbm acho que tudo isso está longe de cessar.; 51; 15; 778; 3; https://twitter.com/AnaPaulaVolei/status/1332547438872182785; None; None] 
[2020-11-28 04:49:45+00:00; AnaPaulaVolei; @CrystalTypewri1 Não sei o nome no Brasil...aqui é white snapdragon.; 12; 0; 174; 0; https://twitter.com/AnaPaulaVolei/status/1332547203143933953; None; None] 
[2020-11-28 04:44:52+00:00; AnaPaulaVolei; @capnogueira2016 https://t.co/DJrt7AkPBZ; 26; 45; 382; 11; https://twitter.com/AnaPaulaVolei/status/1332545975651450883; None; None] 
[2020-11-28 04:34:38+00:00; AnaPaulaVolei; Pensilvânia. 🔥🔥🔥; 621; 1340; 23806; 88; https://twitter.com/AnaPaulaVolei/status/1332543399354802177; None; None] 
[2020-11-28 00:42:49+00:00; AnaPaulaVolei; @YodaSapiens_29 @Truth_Gazette @GOPLeader @gopcaleb https://t.co/9B5Ljb1B9t; 3; 6; 58; 0; https://twitter.com/AnaPaulaVolei/status/1332485060222660610; None; None] 
[2020-11-28 00:02:25+00:00; AnaPaulaVolei; @joao_preza Nope.; 1; 2; 120; 1; https://twitter.com/AnaPaulaVolei/status/1332474892038488064; None; None] 
[2020-11-27 23:42:41+00:00; AnaPaulaVolei; @BurgessOwens @ByronDonalds God bless you!🙏 #Proud #Hopeful; 1; 2; 110; 0; https://twitter.com/AnaPaulaVolei/status/1332469928281079809; None; None] 
[2020-11-27 23:41:19+00:00; AnaPaulaVolei; @lucascangiano91 Com Biden ou Kamala, volte com educação e argumentos. Advogados sem educação e sem argumentos são tão relevantes quanto ao que meus cachorros fazem toda manhã no jornal.; 0; 0; 10; 0; https://twitter.com/AnaPaulaVolei/status/1332469585434406912; None; None] 
[2020-11-27 23:33:10+00:00; AnaPaulaVolei; @ADraeng Escondidinha, esperando a hora certa para assumir a presidência. 😄 https://t.co/iXs4CRvYsW; 2; 4; 44; 0; https://twitter.com/AnaPaulaVolei/status/1332467534226812929; None; None] 
[2020-11-27 23:29:20+00:00; AnaPaulaVolei; @MarceloZani15 Muito difícil. Mas essa história não vai parar mesmo com uma posse de Biden (leia-se Kamala).; 1; 0; 0; 0; https://twitter.com/AnaPaulaVolei/status/1332466566189858816; None; None] 
[2020-11-27 23:27:12+00:00; AnaPaulaVolei; @lucascangiano91 Moço, volte aqui daqui a 1 ano. Há certas “receitas” da vida que não mudam. São impiedosas.; 1; 0; 7; 0; https://twitter.com/AnaPaulaVolei/status/1332466029423824896; None; None] 
[2020-11-27 23:24:22+00:00; AnaPaulaVolei; @biraiorio Mais popular que Obama. Quer outro dado estarrecedor,  professor? Ele só venceu “de lavada”, e foi isso que “fez a diferença”, em menos de 10 condados democratas.; 10; 15; 351; 2; https://twitter.com/AnaPaulaVolei/status/1332465318543859712; None; None] 
[2020-11-27 23:20:48+00:00; AnaPaulaVolei; @lucascangiano91 “Advogado pós-graduado em direito” e se porta e fala como um bebezão. Que futuro, hein. 👌; 0; 0; 9; 0; https://twitter.com/AnaPaulaVolei/status/1332464420996349955; None; None] 
[2020-11-27 23:17:43+00:00; AnaPaulaVolei; Os republicanos na progressista Califórnia acabam de tomar dos democratas a quarta cadeira na Câmara, estão no caminho de manter o Senado, conseguiram manter as maiorias nas legislaturas estaduais de antes e ainda conquistaram novas. Mas Joe Biden tem “80 milhões de votos”.👍 https://t.co/sVJysBG09M; 186; 1377; 9116; 73; https://twitter.com/AnaPaulaVolei/status/1332463644194476033; None; https://twitter.com/CortesSteve/status/1332441049420140545] 
