2019-12-30 13:33:37+00:00; alexandregarcia; Minha resposta às mulheres. E a uma operadora de call center https://t.co/3OaOyOiQxO via @YouTube; 19; 84; 1048; 0; https://twitter.com/alexandregarcia/status/1211641492009373696; None; None
2019-12-03 17:19:27+00:00; alexandregarcia; Juiz e desembargador que vendem sentenças merecem cadeia em dobro e Trump não sabe que o câmbio no Brasil obedece ao mercado. https://t.co/E7aeNuaI1p via @YouTube; 61; 599; 3792; 16; https://twitter.com/alexandregarcia/status/1201913850381164544; None; None
2019-12-02 23:53:14+00:00; alexandregarcia; Vejo que O Mesmo está no elevador; O Mesmo está armado; O Mesmo fez declarações; O Mesmo foi preso; O Mesmo embarcou. O Mesmo é ubíquo.; 180; 430; 5510; 15; https://twitter.com/alexandregarcia/status/1201650564125396992; None; None
2019-12-01 16:16:29+00:00; alexandregarcia; Queixa de passageiro frequente: a fabricante consegue um bom isolamento acústico para proteger os passageiros dos decibéis das turbinas. As operadoras estragam tudo exagerando no volume dos alto-falantes da cabine, com decibéis agressores.✈️; 42; 185; 2723; 5; https://twitter.com/alexandregarcia/status/1201173231283118080; None; None
2019-12-01 16:07:27+00:00; alexandregarcia; Aqui em casa há uma maternidade de sabiá. Não para nunca a rotatividade ovo-filhote. Há pouco, uma chuva torrencial com muito vento não conseguiu deixar uma única gotícula de água no ninho bem-construído. A natureza é sabiá. https://t.co/357LQNv7T8; 504; 1069; 16366; 56; https://twitter.com/alexandregarcia/status/1201170956468867072; None; None
2019-11-29 13:59:23+00:00; alexandregarcia; Depois de uma palestra na Unimed, em BH, na agradável companhia de médicos brasileiros. https://t.co/rMf8hJpT4P; 41; 118; 1978; 3; https://twitter.com/alexandregarcia/status/1200413952645238785; None; None
2019-11-29 11:36:45+00:00; alexandregarcia; Razões para agradecer, no Dia de Ação de Graças https://t.co/E9GiA0pbej via @YouTube; 13; 115; 1330; 0; https://twitter.com/alexandregarcia/status/1200378058475294720; None; None
2019-11-28 13:06:48+00:00; alexandregarcia; Min.Barroso, num voto antológico contra o crime; Lula já deve 24 anos de pena; e outra atrocidade de um par de mulheres contra criança: https://t.co/2HWegbAsPx via @YouTube; 57; 723; 4542; 14; https://twitter.com/alexandregarcia/status/1200038333272997888; None; None
2019-11-26 19:01:10+00:00; alexandregarcia; Ontem vi e ouvi traduzir King James por “Rei Jaime”. Hoje leio o inglês “evidence” traduzido de novo como “evidência”. Mas James é Tiago e evidence é prova.; 186; 531; 6865; 36; https://twitter.com/alexandregarcia/status/1199402736728596480; None; None
2019-11-26 00:16:04+00:00; alexandregarcia; Neguinho encontrado!!! No Parque da Cidade(420ha), graças ao atento vigilante Alan e a um carinhoso mutirão. Um dia depois de seu “pai” Bisteca ter sido alvo de orações de 7º dia no Mosteiro de São Bento. Assustado mas resgatado, cuidado e alimentado. https://t.co/NRJem8bJFJ https://t.co/3aUoCajVfD; 118; 260; 3887; 6; https://twitter.com/alexandregarcia/status/1199119594511904768; None; https://twitter.com/alexandregarcia/status/1197672671154180097
2019-11-25 02:28:35+00:00; alexandregarcia; De onde veio o nome do campeão Flamengo. E em 50 anos de jornalismo o cumprimento do primeiro “direito de resposta”. Veja e inscreva-se em  https://t.co/nlFlK3iXr5 via @YouTube; 41; 202; 2255; 5; https://twitter.com/alexandregarcia/status/1198790556685602817; None; None
2019-11-24 03:03:09+00:00; alexandregarcia; Ao rodar em Brasília, lembro sempre da reserva de Branson na África, Ulusaba. Aqui, o veículo sacode tanto quanto lá - a diferença é que aqui a via é asfaltada, com péssimo resultado. Lá, é trilha de terra. Em ambos, o veiculo ideal é o fora-de-estrada. https://t.co/0WFozeaGue; 86; 355; 3792; 12; https://twitter.com/alexandregarcia/status/1198436865055117312; None; https://twitter.com/WinstonLing/status/1198313120978100224
2019-11-23 17:01:27+00:00; alexandregarcia; Coração bom, Gugu, certa vez, no Hotel Eron aqui em Brasília, perguntou-me se podia chamar ao saguão a mãe dele, que dizia ser minha fã. Abracei dona Maria do Céu e percebi que a Tv não havia alterado a simplicidade daquela família. Perda imensa!😔 https://t.co/bPvuCdQwMb; 298; 2050; 24935; 39; https://twitter.com/alexandregarcia/status/1198285445291036672; None; https://twitter.com/ahickmann/status/1198034306096095232
2019-11-23 16:51:38+00:00; alexandregarcia; @garciajulia O Gu se foi mas está presente nas nossas vidas há cinco anos.; 7; 2; 253; 1; https://twitter.com/alexandregarcia/status/1198282974774603776; None; None
2019-11-22 15:04:24+00:00; alexandregarcia; Parece óbvio, mas foi necessário projeto de lei para dar cobertura legal quando a polícia atirar antes que atacante jogue coquetel molotov em ônibus cheio. Ou atirar antes de ser alvejada https://t.co/WigEfisCW3 via @YouTube; 141; 1602; 8891; 35; https://twitter.com/alexandregarcia/status/1197893597489700864; None; None
2019-11-22 00:26:31+00:00; alexandregarcia; Só para Brasília: Este é o “Neguinho”, órfão do Luís “Bisteca”, que morreu há 5 dias. Foi para o veterinário, para uma geral, e fugiu na 314 Sul em busca do “pai”. Morador de área rural, foi visto e fotografado no Parque da Cidade. Está com gravatinha. Se o vir, favor avisar. https://t.co/MOPBHaQDxW; 84; 776; 4757; 25; https://twitter.com/alexandregarcia/status/1197672671154180097; None; None
2019-11-21 01:46:28+00:00; alexandregarcia; No meu canal do YouTube, esta noite: A quem interessa não elucidar nomes e motivo no caso Marielle. E a transformação da segunda instância em última: https://t.co/npQRard4im via @YouTube; 74; 829; 4648; 9; https://twitter.com/alexandregarcia/status/1197330404702916608; None; None
2019-11-21 00:15:19+00:00; alexandregarcia; Só para lembrar, antes de dormir. Aquele que odeia alguém, é o dono e conteúdo do próprio ódio.; 306; 2027; 18315; 69; https://twitter.com/alexandregarcia/status/1197307468285698054; None; None
2019-11-20 23:54:35+00:00; alexandregarcia; Agora “conterrâneo “ Luciano Hang: Você é um empreendedor modelo para o Brasil. Com mais alguns como você, seremos um Brasil mais rico e feliz. Que sejam semeadas suas férteis ideias. https://t.co/vMFm5wC2sI; 468; 2684; 21581; 86; https://twitter.com/alexandregarcia/status/1197302248365264896; None; https://twitter.com/luciano_hang/status/1196585517879611400
2019-11-20 20:32:59+00:00; alexandregarcia; @normasuelisanz Neste; 2; 1; 46; 0; https://twitter.com/alexandregarcia/status/1197251512474447872; None; None
2019-11-20 14:50:17+00:00; alexandregarcia; Tradução ensina como evitar Português mambembe. https://t.co/dfZEXEiXGX; 104; 120; 1760; 15; https://twitter.com/alexandregarcia/status/1197165269891854336; None; None
2019-11-20 12:56:43+00:00; alexandregarcia; Se você ainda não acompanha meu canal no YouTube, aí vai uma amostra. Dessa noite, com os principais temas do dia: https://t.co/PJAKvy5wMq via @YouTube; 41; 365; 2792; 5; https://twitter.com/alexandregarcia/status/1197136691867398145; None; None
2019-11-19 15:00:52+00:00; alexandregarcia; “Bandeira do Brasil/ninguém te manchará/teu povo varonil/isso não consentirá”.  Saindo de casa no Dia da Bandeira: https://t.co/k1k5EjSBWJ; 387; 1635; 18308; 55; https://twitter.com/alexandregarcia/status/1196805544847269889; None; None
2019-11-18 23:04:36+00:00; alexandregarcia; https://t.co/ks6XKZc64m; 33; 103; 780; 5; https://twitter.com/alexandregarcia/status/1196564895522840578; None; None
2019-11-18 21:02:29+00:00; alexandregarcia; Por outro lado, se encontra muito, Ana, o “asinum asinus fricat”. A gente vê muito essa reciprocidade... https://t.co/3oeh7G08ad; 40; 434; 3869; 8; https://twitter.com/alexandregarcia/status/1196534160753594369; None; https://twitter.com/AnaPaulaVolei/status/1196241963692879872
2019-11-18 20:46:59+00:00; alexandregarcia; Amanhã é Dia da Bandeira, o “querido símbolo da terra/ da amada terra do Brasil”. As minhas - para a casa e para o carro - já estão de prontidão.; 276; 1775; 15899; 53; https://twitter.com/alexandregarcia/status/1196530261808300035; None; None
2019-11-18 02:05:06+00:00; alexandregarcia; Como o voto de Gilmar muda radicalmente em 3 anos https://t.co/rGCtZEv0Bp via @YouTube; 320; 2487; 12875; 148; https://twitter.com/alexandregarcia/status/1196247930832932869; None; None
2019-11-17 21:47:33+00:00; alexandregarcia; Li há pouco no jornal: “Moradores de Veneza estão ilhados”.; 1473; 1315; 19292; 183; https://twitter.com/alexandregarcia/status/1196183115116531712; None; None
2019-11-17 15:30:30+00:00; alexandregarcia; Na segunda leitura da missa deste domingo - Paulo aos tessalonicenses: “Quem não quer trabalhar, também não deve comer. Ouvimos dizer que entre vós há alguns que vivem à toa, muito ocupados em não fazer nada. ...exortamos a essas pessoas que, trabalhando, comam seu próprio pão.”; 748; 5006; 30565; 261; https://twitter.com/alexandregarcia/status/1196088227863703552; None; None
2019-11-17 01:17:34+00:00; alexandregarcia; Todos perdemos com o tal “trânsito em julgado” https://t.co/wsIaDxABNT via @YouTube; 126; 707; 4927; 30; https://twitter.com/alexandregarcia/status/1195873579038064640; None; None
2019-11-16 14:41:23+00:00; alexandregarcia; Yo diría sabiduria del que hizo el chiste. Sencillo y clarisimo. https://t.co/hrNnE6mfFc; 112; 609; 4318; 29; https://twitter.com/alexandregarcia/status/1195713481053495304; None; https://twitter.com/WinstonLing/status/1195709784420274177
2019-11-16 00:18:09+00:00; alexandregarcia; Vítimas nunca mais! https://t.co/nn5iy0Aijh; 317; 2503; 19917; 126; https://twitter.com/alexandregarcia/status/1195496239879610368; None; None
2019-11-15 13:08:36+00:00; alexandregarcia; Saiba por que a República é uma mulher: https://t.co/TluTLtoWCR via @YouTube; 25; 116; 1148; 7; https://twitter.com/alexandregarcia/status/1195327743812153347; None; None
2019-11-14 01:17:34+00:00; alexandregarcia; Antes da Política, os bastidores do meu casamento https://t.co/pbKYw0DEpE via @YouTube; 107; 154; 2621; 5; https://twitter.com/alexandregarcia/status/1194786416250773505; None; None
2019-11-13 23:15:02+00:00; alexandregarcia; Lua-de-mel. https://t.co/tC4LpYxBSB; 532; 321; 10914; 30; https://twitter.com/alexandregarcia/status/1194755581309001729; None; None
2019-11-13 14:30:10+00:00; alexandregarcia; Além do amor, na base de uma festa de casamento estão amigos simpáticos e gentis como estes: https://t.co/grn60n6IhC; 269; 398; 8964; 26; https://twitter.com/alexandregarcia/status/1194623491691237376; None; None
2019-11-13 14:24:17+00:00; alexandregarcia; Obrigado por corrigir. Havia tuitado a prova gráfica com erro no Pereira. https://t.co/X3l2KEqTMr https://t.co/DuoD4XLfbo; 22; 13; 648; 0; https://twitter.com/alexandregarcia/status/1194622012808843264; None; https://twitter.com/rogomes751/status/1194612483706589186
2019-11-13 12:43:15+00:00; alexandregarcia; “De acordo com a vontade que ambos acabais de afirmar perante mim, de vos receberdes por marido e mulher, eu, em nome da lei, vos declaro casados.” https://t.co/pDpDpulN66; 1623; 1032; 23586; 125; https://twitter.com/alexandregarcia/status/1194596588200644608; None; None
2019-11-13 00:03:48+00:00; alexandregarcia; Recém-casados 👰🤵 https://t.co/JYaAzPwGAY; 5143; 2099; 60442; 325; https://twitter.com/alexandregarcia/status/1194405466895454208; None; None
2019-11-11 21:16:24+00:00; alexandregarcia; 1940 foi o ano do “We shall never surrender”. https://t.co/b4bTPkegrO; 691; 621; 9843; 39; https://twitter.com/alexandregarcia/status/1194000950228398080; None; https://twitter.com/alexandregarcia/status/1193725303903920130
2019-11-11 11:12:16+00:00; alexandregarcia; Soltos. Mas não livres: https://t.co/lq7Ki4peEB via @YouTube; 139; 930; 6246; 32; https://twitter.com/alexandregarcia/status/1193848913096314882; None; None
2019-11-11 03:01:05+00:00; alexandregarcia; Faz 79 anos, mas continua atual. A gente renasce a cada dia. https://t.co/DYabiNN6wj; 4539; 1804; 29621; 287; https://twitter.com/alexandregarcia/status/1193725303903920130; None; None
2019-11-11 00:21:53+00:00; alexandregarcia; Meio milhão no Instagram agora à noite. Tmj pessoal. Obrigado e abraços!; 725; 3014; 48093; 65; https://twitter.com/alexandregarcia/status/1193685239953936384; None; None
2019-11-10 21:36:26+00:00; alexandregarcia; Resumindo o Supremo: Quando já está decidido que é culpado, ainda é preciso esperar para decidir se vai preso.; 1119; 8908; 49574; 409; https://twitter.com/alexandregarcia/status/1193643602246852608; None; None
2019-11-09 22:23:15+00:00; alexandregarcia; Há 30 anos caía o Muro que separava a Alemanha. O socialismo foi tão nocivo para o lado oriental que até um povo operoso como o alemão não conseguiu se recuperar totalmente do atraso.; 329; 4564; 29316; 116; https://twitter.com/alexandregarcia/status/1193292995191300096; None; None
