2020-12-08 22:53:14+00:00; lauraabcarvalho; @Spossas Bom ve-la por aqui professora!; 0; 0; 0; 0; https://twitter.com/lauraabcarvalho/status/1336443748931297289; None; None
2020-12-04 15:05:17+00:00; lauraabcarvalho; Entrevista muito lúcida do @FelipeSalto sobre a inviabilidade do atual desenho do teto de gastos e a necessidade de revisarmos nossas regras fiscais, garantindo a sustentabilidade da dívida com aumento de receitas também https://t.co/2DcYsQoWMS; 7; 15; 236; 2; https://twitter.com/lauraabcarvalho/status/1334876432753958913; None; https://twitter.com/FelipeSalto/status/1334861702320558080
2020-12-04 13:47:10+00:00; lauraabcarvalho; @RjSomalia @PHMalafaia É exatamente isso. Teria que ser um gráfico em barras pra fazer sentido; 0; 0; 2; 0; https://twitter.com/lauraabcarvalho/status/1334856777297440771; None; None
2020-12-04 13:38:49+00:00; lauraabcarvalho; Ao que parece a SECOM deletou o tuíte abaixo, que trazia uma ideia totalmente enganosa do nosso ritmo de recuperação https://t.co/JxskSaUQHb https://t.co/1LPZx5T8rF; 39; 130; 1051; 28; https://twitter.com/lauraabcarvalho/status/1334854674797764609; None; https://twitter.com/lauraabcarvalho/status/1334833464793817090
2020-12-04 12:14:32+00:00; lauraabcarvalho; A pedidos, a trajetória do PIB desde o fim de 2018 https://t.co/th08GYzkJC; 22; 217; 929; 56; https://twitter.com/lauraabcarvalho/status/1334833464793817090; None; None
2020-12-03 19:04:33+00:00; lauraabcarvalho; Daqui a pouquinho! https://t.co/kxTcQAVgxv; 2; 3; 90; 0; https://twitter.com/lauraabcarvalho/status/1334574259809775621; None; https://twitter.com/bollemdb/status/1334137310032650242
2020-12-02 19:16:08+00:00; lauraabcarvalho; @douglasmap @made_usp @mats_rc @rodrigo_toneto @lmonasterio Sim, o gráfico está no lugar errado mesmo no fio, a análise é referente ao Gráfico 2 da Nota https://t.co/LLxaTI7s1s; 1; 0; 4; 0; https://twitter.com/lauraabcarvalho/status/1334214789044776962; None; None
2020-12-02 19:10:31+00:00; lauraabcarvalho; @lmonasterio @made_usp Oi Leonardo, a Nota parte dessa evidência de altíssimo gasto com funcionalismo em relação ao PIB para aprofundar o tema a partir de outros indicadores (% despesa, % emprego privado, % população). Já avisei aqui da confusão ao pessoal que está cuidando dos tuites; 1; 0; 4; 0; https://twitter.com/lauraabcarvalho/status/1334213375589560326; None; None
2020-12-02 14:54:54+00:00; lauraabcarvalho; Saiu nova Nota do @made_usp sobre o peso dos gastos com funcionalismo no Orçamento. Somos mesmo um ponto fora da curva? Leiam a Nota completa em https://t.co/pxojfAD5QX https://t.co/J5j5OpUwcV; 5; 20; 122; 1; https://twitter.com/lauraabcarvalho/status/1334149047465152513; None; https://twitter.com/made_usp/status/1334148479388692481
2020-12-02 14:10:47+00:00; lauraabcarvalho; Melhor o pessoal das redes do Ministério da Economia se preparar pros esclarecimentos indiretos https://t.co/kxTcQAVgxv; 7; 22; 684; 1; https://twitter.com/lauraabcarvalho/status/1334137944786034690; None; https://twitter.com/bollemdb/status/1334137310032650242
2020-12-02 13:20:11+00:00; lauraabcarvalho; @luizammiguez Hahahahahhaha; 0; 0; 0; 0; https://twitter.com/lauraabcarvalho/status/1334125208534388736; None; None
2020-12-02 12:55:47+00:00; lauraabcarvalho; @ThomasVConti Se chegar alguma eu prometo fazer um unboxing ao vivo no Instagram; 1; 0; 52; 0; https://twitter.com/lauraabcarvalho/status/1334119068929028096; None; None
2020-12-02 12:54:18+00:00; lauraabcarvalho; O pessoal das redes da pasta que está me monitorando preventivamente bem que poderia fazer aquele tão prometido esclarecimento indireto mostrando que tem proposta sim; 17; 31; 1526; 3; https://twitter.com/lauraabcarvalho/status/1334118694910386176; None; None
2020-12-02 12:49:54+00:00; lauraabcarvalho; Bom dia! A detratora aqui acordou querendo fazer algum “debate equivocado” das propostas do Ministério da Economia para a recuperação pós-Covid mas eis que não foi capaz de localizar nenhuma pra debater.; 53; 228; 5232; 27; https://twitter.com/lauraabcarvalho/status/1334117586594918400; None; None
2020-12-02 12:01:38+00:00; lauraabcarvalho; @SalvinoOliveir1 Salvino, estou super feliz por você e pelo Rio! Parabéns; 0; 0; 12; 0; https://twitter.com/lauraabcarvalho/status/1334105441404596225; None; None
2020-12-01 23:18:39+00:00; lauraabcarvalho; @marcelo_meds pois é e ainda descobriram que eu sou crítica do governo e da pasta de economia. um trabalho investigativo impressionante; 7; 0; 195; 0; https://twitter.com/lauraabcarvalho/status/1333913432572243970; None; None
2020-12-01 23:08:24+00:00; lauraabcarvalho; @mcfernandes @giz_omartins Eu que aprendi muito! Obrigada pela ótima mesa; 0; 0; 5; 0; https://twitter.com/lauraabcarvalho/status/1333910851330453506; None; None
2020-12-01 20:11:43+00:00; lauraabcarvalho; @felipeneto Estou dentro!; 12; 0; 962; 1; https://twitter.com/lauraabcarvalho/status/1333866386452586503; None; None
2020-12-01 19:16:39+00:00; lauraabcarvalho; @ThiagoKrause2 @gtinocolh Exatamente; 2; 0; 9; 0; https://twitter.com/lauraabcarvalho/status/1333852527843012613; None; None
2020-12-01 19:14:30+00:00; lauraabcarvalho; @gtinocolh A prova de que eles são ruins demais é você não estar nessa lista; 5; 1; 46; 0; https://twitter.com/lauraabcarvalho/status/1333851987411148800; None; None
2020-12-01 15:52:28+00:00; lauraabcarvalho; @SalvinoOliveir1 Parabéns, querido!!; 0; 0; 15; 0; https://twitter.com/lauraabcarvalho/status/1333801144875765767; None; None
2020-12-01 14:54:14+00:00; lauraabcarvalho; A recomendação no relatório que lista os detratores do Ministério da Economia é “monitorar preventivamente” meus tuítes pra identificar possíveis “debates equivocados” sobre economia e “publicar posts que esclareçam de forma indireta essas mensagens”. Surreal.; 234; 507; 8645; 131; https://twitter.com/lauraabcarvalho/status/1333786491277897732; None; None
2020-12-01 11:11:11+00:00; lauraabcarvalho; Nosso estudo do @made_usp agora foi objeto dessa matéria do UOL https://t.co/VYqXXDOIxP; 20; 82; 1301; 3; https://twitter.com/lauraabcarvalho/status/1333730356802035712; None; https://twitter.com/UOLNoticias/status/1333715591983730689
2020-11-30 22:51:29+00:00; lauraabcarvalho; @HBoushey So happy to see a fellow newschooler in the CEA. Well deserved and congrats!; 0; 0; 21; 0; https://twitter.com/lauraabcarvalho/status/1333544206489542665; None; None
2020-11-30 22:49:19+00:00; lauraabcarvalho; Pra quem não conhece o trabalho dela indico o livro mais recente “Unbound” e os trabalhos do @equitablegrowth; 0; 1; 66; 0; https://twitter.com/lauraabcarvalho/status/1333543660064018432; None; None
2020-11-30 22:47:18+00:00; lauraabcarvalho; Orgulho de ver uma economista com PhD pela New School como eu no Council of Economic Advisers do presidente eleito Joe Biden https://t.co/K61R4d3iVi; 7; 4; 385; 0; https://twitter.com/lauraabcarvalho/status/1333543153954156544; None; https://twitter.com/HBoushey/status/1333418506390540289
2020-11-30 21:09:52+00:00; lauraabcarvalho; Parabéns à IFI, que nesses 4 anos fez um trabalho importantíssimo pro debate fiscal brasileiro https://t.co/C3hi2kvzYl; 3; 6; 175; 3; https://twitter.com/lauraabcarvalho/status/1333518633637736457; None; https://twitter.com/IFIBrasil/status/1333405729873682434
2020-11-29 21:55:05+00:00; lauraabcarvalho; Eu posso dizer que estou assistindo a construção de um líder político totalmente fora da curva e da minha geração, com décadas de vida política pela frente. Lavou a alma de 2018 disputando com louvor a prefeitura da maior cidade do país. @GuilhermeBoulos, parabéns!; 201; 796; 18887; 140; https://twitter.com/lauraabcarvalho/status/1333167627028541448; None; None
2020-11-29 21:37:15+00:00; lauraabcarvalho; E fico feliz de verdade pela vitória de @EdmilsonPSOL em Belém, claro; 6; 9; 702; 2; https://twitter.com/lauraabcarvalho/status/1333163138846482435; None; None
2020-11-29 21:34:05+00:00; lauraabcarvalho; Vou comemorar o que tem pra comemorar: @eduardopaes_ prefeito do Rio de Janeiro e algumas lideranças jovens de esquerda, várias delas mulheres, com força e carreira política longa pela frente em capitais importantes. Vamos que o caminho é longo.; 40; 71; 2551; 11; https://twitter.com/lauraabcarvalho/status/1333162338657181702; None; None
2020-11-29 17:40:30+00:00; lauraabcarvalho; Testemunhei https://t.co/4GyVdTHaFP; 20; 50; 2250; 6; https://twitter.com/lauraabcarvalho/status/1333103555490746370; None; https://twitter.com/amanda_celio/status/1333102409191739393
2020-11-29 01:01:47+00:00; lauraabcarvalho; Como eleitora do Rio de Janeiro quero só lembrar vocês que é essencial ir lá votar no @eduardopaes_  amanhã pra tirar o pior prefeito da história da nossa cidade tão combalida; 34; 67; 2877; 11; https://twitter.com/lauraabcarvalho/status/1332852221353074689; None; None
2020-11-28 21:54:17+00:00; lauraabcarvalho; Só um tuíte pra dizer que dá pra virar em Porto Alegre e ter como prefeita a minha amiga que eu tanto admiro @ManuelaDavila. Vamo de 65!; 78; 284; 8302; 35; https://twitter.com/lauraabcarvalho/status/1332805034715848713; None; None
2020-11-28 20:48:52+00:00; lauraabcarvalho; ❤️ https://t.co/hI9RszNNRR; 3; 1; 166; 0; https://twitter.com/lauraabcarvalho/status/1332788571829309445; None; https://twitter.com/agatavieira/status/1332780892599803906
2020-11-27 19:49:05+00:00; lauraabcarvalho; Queremos debate virtual na TV Globo. Ou então coloca os vices pra debaterem.; 323; 1697; 22306; 333; https://twitter.com/lauraabcarvalho/status/1332411141142827010; None; None
2020-11-27 17:09:21+00:00; lauraabcarvalho; Compartilhei mais cedo essa matéria da Solange Monteiro sobre o debate de ontem antes de ler. Queria só destacar que está de altíssimo nível, viu? Me senti plenamente representada nas ideias que expus. É bom quando a gente pode elogiar o trabalho de reportagem em economia https://t.co/mloFtag5R0; 2; 3; 88; 0; https://twitter.com/lauraabcarvalho/status/1332370940559314944; None; https://twitter.com/lauraabcarvalho/status/1332332523846774785
2020-11-27 14:36:41+00:00; lauraabcarvalho; Saiu também um artigo no blog da Revista de Conjuntura Econômica do @FGVIBRE um artigo sobre o meu debate ontem com Samuel Pessôa. Disponível aqui: https://t.co/8Lm348QyYF; 1; 6; 72; 3; https://twitter.com/lauraabcarvalho/status/1332332523846774785; None; None
2020-11-27 12:19:53+00:00; lauraabcarvalho; @FlavioAlbuquer1 @folha Olha eu debato bastante com o Samuel desde 2015: ele sempre tem sido o otimista entre nós dois e eu sempre torcendo pra ele estar certo; 4; 0; 22; 0; https://twitter.com/lauraabcarvalho/status/1332298097377079302; None; None
2020-11-27 12:10:44+00:00; lauraabcarvalho; Saiu essa matéria na @folha sobre o ótimo debate que fiz ontem com o Samuel  https://t.co/RXdYYPKiy5; 23; 20; 491; 5; https://twitter.com/lauraabcarvalho/status/1332295791654875140; None; None
2020-11-27 10:34:32+00:00; lauraabcarvalho; O ótimo papo de ontem está disponível no meu IGTV https://t.co/A5apv2L8TT https://t.co/E4Uu7hqfdx; 3; 8; 109; 1; https://twitter.com/lauraabcarvalho/status/1332271584233598978; None; https://twitter.com/lauraabcarvalho/status/1331702434083844098
2020-11-27 10:06:13+00:00; lauraabcarvalho; @FernandoSchwery @DanieleGirardi_ @RaphaelGouvea_ Conhece uma coisa chamada prioridade?; 4; 0; 7; 0; https://twitter.com/lauraabcarvalho/status/1332264458576678912; None; None
2020-11-27 09:32:34+00:00; lauraabcarvalho; @RaphaelGouvea_ @DanieleGirardi_ Maravilhoso! Queria muito ter conhecido antes pra citar; 0; 0; 4; 0; https://twitter.com/lauraabcarvalho/status/1332255988662022147; None; None
2020-11-27 09:29:20+00:00; lauraabcarvalho; Fiz a coluna do Nexo citando outras evidências mas não conhecia esse artigo aqui do @DanieleGirardi_ e @RaphaelGouvea_ que encontra que prefeitos de esquerda não aumentam dívida mas elevam gasto social https://t.co/584xurJTQe; 4; 42; 309; 2; https://twitter.com/lauraabcarvalho/status/1332255173444513792; None; https://twitter.com/DanieleGirardi_/status/1332165489297137666
2020-11-26 23:18:45+00:00; lauraabcarvalho; Desde a Lei de Responsabilidade Fiscal, a ideologia importa mais para a definição de prioridades na alocação de recursos finitos do que para o equilíbrio das contas públicas municipais.  https://t.co/8O8KitMVtR; 32; 88; 1109; 9; https://twitter.com/lauraabcarvalho/status/1332101518783340545; None; None
2020-11-26 16:53:53+00:00; lauraabcarvalho; É agora!! https://t.co/E4Uu7hqfdx; 2; 15; 106; 0; https://twitter.com/lauraabcarvalho/status/1332004663915319296; None; https://twitter.com/lauraabcarvalho/status/1331702434083844098
2020-11-26 16:17:07+00:00; lauraabcarvalho; Isso é real? Se for é inacreditável https://t.co/PyPH6wtYh4; 729; 804; 12680; 272; https://twitter.com/lauraabcarvalho/status/1331995408818647040; None; https://twitter.com/AiresJeff/status/1331977707408797698
2020-11-26 16:10:27+00:00; lauraabcarvalho; @PauloLotufo Não, ainda tem mais um! Que é o sexto. O quinto foi o penúltimo; 1; 0; 2; 0; https://twitter.com/lauraabcarvalho/status/1331993731868880896; None; None
2020-11-26 15:53:00+00:00; lauraabcarvalho; Se esse movimento do Congresso de fato acontecer, é uma excelente notícia  https://t.co/j4kr049QkQ; 9; 16; 228; 2; https://twitter.com/lauraabcarvalho/status/1331989339316817922; None; None
2020-11-26 11:54:39+00:00; lauraabcarvalho; Topzera https://t.co/W8WZADqVou; 21; 78; 1813; 3; https://twitter.com/lauraabcarvalho/status/1331929357217112066; None; https://twitter.com/folha/status/1331794312057790466
2020-11-26 11:53:51+00:00; lauraabcarvalho; Hoje daqui a pouco https://t.co/OnajOx0LMF; 0; 3; 21; 1; https://twitter.com/lauraabcarvalho/status/1331929155345256455; None; https://twitter.com/lauraabcarvalho/status/1331542173905530881
2020-11-26 01:21:53+00:00; lauraabcarvalho; @Arissonsss https://t.co/g6OWx6IU2o; 1; 0; 11; 0; https://twitter.com/lauraabcarvalho/status/1331770116527230977; None; None
2020-11-26 01:20:54+00:00; lauraabcarvalho; Gente eu sei que vocês estão tensos com outras coisas mas esse penúltimo episódio de The Undoing meu Deus; 49; 11; 463; 8; https://twitter.com/lauraabcarvalho/status/1331769867914125312; None; None
2020-11-25 21:01:38+00:00; lauraabcarvalho; @tcoliveira1930 @mmartinsrocha @GuilhermeBoulos Sim!; 1; 0; 13; 0; https://twitter.com/lauraabcarvalho/status/1331704621023326210; None; None
2020-11-25 20:53:50+00:00; lauraabcarvalho; Aqui o link funcionando: https://t.co/04uFEYQWVy; 2; 7; 87; 0; https://twitter.com/lauraabcarvalho/status/1331702658525261826; None; None
2020-11-25 20:52:56+00:00; lauraabcarvalho; Vou fazer uma Live nessa quinta às 14h com o Marco Rocha (@mmartinsrocha) - economista que ajudou a formular o plano de governo de @GuilhermeBoulos - sobre a viabilidade de suas propostas. Vai ser no meu Instagram (https://t.co/kxRypXdcYl…); 18; 89; 962; 12; https://twitter.com/lauraabcarvalho/status/1331702434083844098; None; None
2020-11-25 18:31:24+00:00; lauraabcarvalho; @96Henrique E o Putin é o centro político; 9; 0; 102; 0; https://twitter.com/lauraabcarvalho/status/1331666816159125505; None; None
2020-11-25 18:00:52+00:00; lauraabcarvalho; Esse texto  https://t.co/NNQE9JE8Js; 13; 19; 294; 6; https://twitter.com/lauraabcarvalho/status/1331659132022218754; None; None
2020-11-25 17:24:27+00:00; lauraabcarvalho; @TeresaCristina @GuilhermeBoulos @luizaerundina ❤️; 0; 0; 13; 0; https://twitter.com/lauraabcarvalho/status/1331649964628434952; None; None
2020-11-25 16:57:08+00:00; lauraabcarvalho; Hasta siempre, Diego https://t.co/Zk4AeKpOMa; 5; 83; 1772; 31; https://twitter.com/lauraabcarvalho/status/1331643090730430467; None; None
2020-11-25 13:53:40+00:00; lauraabcarvalho; Quando aceitei o convite em 2016 para participar de uma gestão Freixo no RJ eu disse: “só não sei se é bom ter uma economista de esquerda de quem todos esperam irresponsabilidade fazendo isso. Minha preocupação em manter as contas públicas superavitárias vai ser muito maior”; 7; 8; 439; 4; https://twitter.com/lauraabcarvalho/status/1331596922386325504; None; None
2020-11-25 13:42:15+00:00; lauraabcarvalho; Eu já tinha destacado isso outro dia. Historicamente não há base para esse medo de que as contas públicas sejam colapsadas em uma prefeitura de esquerda em São Paulo https://t.co/BsJd1x3kOV; 33; 261; 1787; 13; https://twitter.com/lauraabcarvalho/status/1331594046452723715; None; https://twitter.com/lucasapaulino/status/1331592686600646657
2020-11-25 11:56:11+00:00; lauraabcarvalho; Lamentável https://t.co/pvGfQieolh; 81; 51; 2090; 7; https://twitter.com/lauraabcarvalho/status/1331567354988408839; None; https://twitter.com/folha/status/1331437466146967555
2020-11-25 10:16:07+00:00; lauraabcarvalho; Nessa quinta-feira às 10h, inscrições aqui: https://t.co/ormWccfUOl https://t.co/gOaix7p3LH; 8; 4; 115; 1; https://twitter.com/lauraabcarvalho/status/1331542173905530881; None; https://twitter.com/folha/status/1331334284582514698
2020-11-24 22:05:37+00:00; lauraabcarvalho; @PauloLotufo @YouTube Hahaha estamos mal de notícias!; 0; 0; 17; 0; https://twitter.com/lauraabcarvalho/status/1331358338022563847; None; None
2020-11-24 15:39:29+00:00; lauraabcarvalho; Calma lá, o Flamengo não tem nada a ver com naturalidade: é sobre nacionalidade ;-) https://t.co/DYHCJGVzWH; 16; 6; 174; 2; https://twitter.com/lauraabcarvalho/status/1331261163821273088; None; https://twitter.com/Karl_MD/status/1331250485395853317
2020-11-24 15:20:32+00:00; lauraabcarvalho; @letrapreta @pirescarol @Savagefiction Ai mas eu queria que você me tirasse; 1; 0; 1; 0; https://twitter.com/lauraabcarvalho/status/1331256395547734031; None; None
2020-11-24 15:01:15+00:00; lauraabcarvalho; @jnascim @draomcqueen @abazzan Jeff, passa pra mim por whatsapp??; 1; 0; 4; 0; https://twitter.com/lauraabcarvalho/status/1331251539579727873; None; None
2020-11-24 14:40:37+00:00; lauraabcarvalho; @PauloLotufo Isso infelizmente vai ser impossível; 1; 0; 8; 0; https://twitter.com/lauraabcarvalho/status/1331246348683907081; None; None
2020-11-24 14:39:52+00:00; lauraabcarvalho; @si_ferlin Nascida na maternidade do Brás e moradora do Largo do Arouche antes de virar modinha; 1; 0; 22; 0; https://twitter.com/lauraabcarvalho/status/1331246160800067600; None; None
2020-11-24 14:10:42+00:00; lauraabcarvalho; @pedrolrossi Plot twist; 1; 0; 74; 0; https://twitter.com/lauraabcarvalho/status/1331238818054336514; None; None
2020-11-24 14:10:04+00:00; lauraabcarvalho; @96Henrique Hahaha por outro ângulo dá pra dizer que a escolha de morar no Rio não foi minha, a de São Paulo foi — ainda mais que passei no concurso da UFRJ junto com o da USP; 0; 0; 20; 0; https://twitter.com/lauraabcarvalho/status/1331238658880495616; None; None
2020-11-24 14:06:53+00:00; lauraabcarvalho; @96Henrique Sei não hein, já estou somando 13 anos morando em São Paulo. No Rio foram 19.; 1; 0; 17; 0; https://twitter.com/lauraabcarvalho/status/1331237859227996162; None; None
2020-11-24 14:04:40+00:00; lauraabcarvalho; @jfmathias Aí não é naturalidade, é nacionalidade ;-); 6; 0; 163; 0; https://twitter.com/lauraabcarvalho/status/1331237301398155264; None; None
2020-11-24 14:03:50+00:00; lauraabcarvalho; @IgorRocha86 Por essa você não esperava!; 0; 0; 5; 0; https://twitter.com/lauraabcarvalho/status/1331237092874211328; None; None
2020-11-24 14:01:45+00:00; lauraabcarvalho; @bastosgabriel93 Nascida na maternidade do Braz; 3; 0; 54; 0; https://twitter.com/lauraabcarvalho/status/1331236565327224835; None; None
2020-11-24 13:58:35+00:00; lauraabcarvalho; Se o Boulos ganhar vou encerrar um ciclo de 30 anos me autodeclarando carioca e assumir de uma vez minha real naturalidade https://t.co/OpAx1bDXOZ; 229; 110; 8637; 61; https://twitter.com/lauraabcarvalho/status/1331235768455618562; None; None
2020-11-24 02:45:15+00:00; lauraabcarvalho; @tavasconcellos Hahaha foi perfeita; 0; 0; 211; 0; https://twitter.com/lauraabcarvalho/status/1331066320721424389; None; None
2020-11-24 01:45:26+00:00; lauraabcarvalho; Lembrando que todos os jornais me colocaram como uma aliada que critica. O bom candidato pra mim é quem tem isso: aliados que criticam. #BoulosErundina50 https://t.co/yyrY1OMdpp; 25; 67; 3255; 3; https://twitter.com/lauraabcarvalho/status/1331051268647870471; None; None
2020-11-24 01:43:26+00:00; lauraabcarvalho; Eu tinha apontado aqui o que vi de problema na fala do @GuilhermeBoulos sobre Previdência ao Estadão. A resposta dele agora no Roda Viva reconhece esse problema. É isso que espero do meu candidato a prefeito.; 57; 446; 15299; 34; https://twitter.com/lauraabcarvalho/status/1331050762227625984; None; None
2020-11-24 01:00:10+00:00; lauraabcarvalho; @camarada_d hahahahah; 0; 0; 1; 0; https://twitter.com/lauraabcarvalho/status/1331039875093704710; None; None
2020-11-24 00:57:55+00:00; lauraabcarvalho; E a máscara torta gente? 🤦🏽‍♀️ https://t.co/Q03FLdPZEy; 45; 16; 1545; 2; https://twitter.com/lauraabcarvalho/status/1331039310959751170; None; https://twitter.com/jnascim/status/1331035128995459075
2020-11-23 13:15:03+00:00; lauraabcarvalho; Um detalhe é que os 90% de eficácia nos testes são com meia dose e depois de um mês uma dose inteira; 4; 4; 187; 0; https://twitter.com/lauraabcarvalho/status/1330862425017561088; None; None
2020-11-23 13:13:24+00:00; lauraabcarvalho; Que notícia excelente! E com armazenamento em geladeira normal. Viva a  Fiocruz que já estava prevendo a produção de 100 milhões de doses até julho se não me engano https://t.co/rxIFlEaGlt; 6; 41; 1071; 4; https://twitter.com/lauraabcarvalho/status/1330862010091917313; None; https://twitter.com/PauloLotufo/status/1330823990810730498
2020-11-22 06:04:11+00:00; lauraabcarvalho; @bruno_gommez Tirei pra nem polemizar :-); 1; 0; 11; 0; https://twitter.com/lauraabcarvalho/status/1330391606713835521; None; None
2020-11-22 05:20:47+00:00; lauraabcarvalho; @bruno_gommez A blusa que o Evo deu pra ele: foi preso usando essa mesmo; 2; 0; 79; 1; https://twitter.com/lauraabcarvalho/status/1330380686772101124; None; None
2020-11-22 05:15:09+00:00; lauraabcarvalho; Não vou negar, acho bonito https://t.co/dL5MhPmYeR; 139; 250; 11508; 47; https://twitter.com/lauraabcarvalho/status/1330379267851624451; None; https://twitter.com/BernardoMF/status/1330312448650440709
2020-11-21 16:53:44+00:00; lauraabcarvalho; Parabéns pelo posicionamento @tabataamaralsp https://t.co/vlmDeUnSuj; 36; 31; 2071; 5; https://twitter.com/lauraabcarvalho/status/1330192683164454914; None; https://twitter.com/tabataamaralsp/status/1330189613332357126
2020-11-21 15:01:04+00:00; lauraabcarvalho; Textaço do @thiamparo https://t.co/FtpjVgPJAz; 5; 11; 351; 2; https://twitter.com/lauraabcarvalho/status/1330164330747355137; None; https://twitter.com/folha/status/1329936696935387138
2020-11-19 22:07:18+00:00; lauraabcarvalho; Ufa https://t.co/fijpJmeGQb; 5; 16; 269; 1; https://twitter.com/lauraabcarvalho/status/1329546821585219585; None; https://twitter.com/Lobo_Lele/status/1329543735189925889
2020-11-19 21:49:29+00:00; lauraabcarvalho; @Silvianagata Pra isso já existe a Lei de Responsabilidade Fiscal. O importante é definir as prioridades corretamente e dar a transparência necessária; 2; 0; 11; 0; https://twitter.com/lauraabcarvalho/status/1329542336972460032; None; None
2020-11-19 21:43:13+00:00; lauraabcarvalho; Permaneço confiante de que o Guilherme será um excelente prefeito para São Paulo, pois tem enorme capacidade de escuta e compromisso com a redução de desigualdades; 11; 29; 1077; 4; https://twitter.com/lauraabcarvalho/status/1329540761503887365; None; None
2020-11-19 21:41:20+00:00; lauraabcarvalho; Como disse antes aqui, não participei da equipe que elaborou o programa dele nessas eleições mas aceitei o convite do @GuilhermeBoulos para contribuir com sugestões na reunião que fizemos de manhã https://t.co/EC6bJDf7L1; 26; 70; 2161; 14; https://twitter.com/lauraabcarvalho/status/1329540287190986757; None; https://twitter.com/GuilhermeBoulos/status/1329539568929005568
2020-11-19 20:58:23+00:00; lauraabcarvalho; @elida_graziane @pachukan1s Claro, só funciona via OS. Obrigada Elida; 1; 0; 37; 0; https://twitter.com/lauraabcarvalho/status/1329529476552777735; None; None
